#,Module,Function,DUTs,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
0,routing/VRF/test_vrf_scale.py,test_vrf_scale,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/VRF/test_vrf_scale.py,test_vrf_bgp,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/VRF/test_vrf_scale.py,test_vrf_reload,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/VRF/test_vrf_scale.py, --Module--,2,NE,NE,NE,NE,NE,NE
0,routing/test_ip.py,test_l3_v4_route_po_1,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/test_ip.py,test_ft_ping_v4_v6_vlan,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/test_ip.py,test_ft_ping_v4_v6_after_ip_change_pc,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/test_ip.py,test_ft_ip6_static_route_traffic_forward_blackhole,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/test_ip.py,test_ft_ip_static_route_traffic_forward,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
5,routing/test_ip.py,test_ft_ip_v4_v6_L2_L3_translation,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
6,routing/test_ip.py,test_ft_verify_interfaces_order,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/test_ip.py, --Module--,2,NE,NE,NE,NE,NE,NE
0,sanity/test_sanity_l3.py,test_l2_to_l3_port,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,sanity/test_sanity_l3.py, --Module--,2,NE,NE,NE,NE,NE,NE
