#,Node,Module,DUTs,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
1,gw6,routing/test_l3_performance.py,1,NE,NE,NE,NE,NE,NE
2,gw6,routing/test_arp.py,1,NE,NE,NE,NE,NE,NE
3,gw6,qos/test_qos_save_reboot.py,1,NE,NE,NE,NE,NE,NE
4,gw2,routing/BGP/test_bgp.py,2,NE,NE,NE,NE,NE,NE
5,gw2,routing/VRF/test_vrf.py,2,NE,NE,NE,NE,NE,NE
6,gw1,routing/BGP/test_bgp_4node.py,4,NE,NE,NE,NE,NE,NE
7,gw3,routing/VRF/test_vrf_scale.py,2,NE,NE,NE,NE,NE,NE
8,gw3,routing/test_ip.py,2,NE,NE,NE,NE,NE,NE
9,gw3,routing/BGP/test_bgp_rr_traffic.py,2,NE,NE,NE,NE,NE,NE
10,gw3,sanity/test_sanity_l3.py,2,NE,NE,NE,NE,NE,NE
