#,Node,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,gw2,Regression,ft_add_unknownvlan_interface,Pass,Mapped,2023-12-30 03:38:17,Test case passed,test_ft_add_unknownvlan_interface,switching/test_vlan.py,"V3, V4",
2,gw2,Regression,ft_vlan_delete_with_member,Pass,Mapped,2023-12-30 03:38:29,Test case passed,test_ft_vlan_delete_with_member,switching/test_vlan.py,"V3, V4",
3,gw3,Regression,FtOpSoSwLagFn042,Pass,Mapped,2023-12-30 03:38:54,Test case passed,test_ft_portchannel_with_vlan_variations,switching/test_portchannel.py,"V1, V2",
4,gw3,Regression,FtOpSoSwLagFn041,Pass,Mapped,2023-12-30 03:38:54,Test case passed,test_ft_portchannel_with_vlan_variations,switching/test_portchannel.py,"V1, V2",
5,gw2,Regression,ft_vlan_trunk_tagged,Fail,Mapped,2023-12-30 03:39:04,Failed to learn  MAC Adresses in vlan 3680,test_ft_vlan_trunk_tagged,switching/test_vlan.py,"V3, V4",
6,gw2,Regression,ft_show_vlan_brief,Fail,Mapped,2023-12-30 03:39:04,Failed to learn  MAC Adresses in vlan 3680,test_ft_vlan_trunk_tagged,switching/test_vlan.py,"V3, V4",
7,gw3,PortChannel Config Enhancements,FtOpSoSwPominFn007,Pass,Mapped,2023-12-30 03:39:14,Test case passed,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,switching/test_portchannel.py,"V1, V2",
8,gw3,Regression,ft_lldp_LocManAddrLen,Fail,Mapped,2023-12-30 03:42:51,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_LocManAddrLen,system/test_lldp.py,"V1, V2",
9,gw3,Regression,ft_lldp_LocManAddrlfld,Fail,Mapped,2023-12-30 03:42:51,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_LocManAddrlfld,system/test_lldp.py,"V1, V2",
10,gw3,Regression,ft_lldp_LocManAddrEntry,Fail,Mapped,2023-12-30 03:42:51,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_LocManAddrEntry,system/test_lldp.py,"V1, V2",
11,gw3,Regression,ft_lldp_ConfigManAddrEntry,Fail,Mapped,2023-12-30 03:42:52,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_ConfigManAddrEntry,system/test_lldp.py,"V1, V2",
12,gw3,Regression,ft_lldp_lldplocportid,Fail,Mapped,2023-12-30 03:42:52,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_lldplocportid,system/test_lldp.py,"V1, V2",
13,gw3,Regression,ft_lldp_lldplocsysname,Fail,Mapped,2023-12-30 03:42:52,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_lldplocsysname,system/test_lldp.py,"V1, V2",
14,gw3,Regression,ft_lldp_lldplocsysdesc,Fail,Mapped,2023-12-30 03:42:53,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_lldplocsysdesc,system/test_lldp.py,"V1, V2",
15,gw3,SNMP Agent Optimization,ft_snmp_lldp_prem_manaddr_table,Fail,Mapped,2023-12-30 03:42:53,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_rem_man_addr_table,system/test_lldp.py,"V1, V2",
16,gw3,Regression,FtOpSoSwlldpFn011,Fail,Mapped,2023-12-30 03:42:53,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
17,gw3,Regression,FtOpSoSwlldpFn010,Fail,Mapped,2023-12-30 03:42:53,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
18,gw3,Regression,FtOpSoSwlldpFn009,Fail,Mapped,2023-12-30 03:42:53,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
19,gw3,Regression,FtOpSoSwlldpFn008,Fail,Mapped,2023-12-30 03:42:53,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
20,gw3,Regression,FtOpSoSwlldpFn004,Fail,Mapped,2023-12-30 03:42:53,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
21,gw3,Regression,FtOpSoSwlldpFn013,Fail,Mapped,2023-12-30 03:42:54,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_docker_restart,system/test_lldp.py,"V1, V2",
22,gw3,Regression,lldp_verify_counters,Fail,Mapped,2023-12-30 03:42:54,module configuration failed. LLDP neighbors information is not found after polling @5445,test_lldp_verify_counters,system/test_lldp.py,"V1, V2",
23,gw3,Regression,ft_lldp_with_remote_server,Fail,Mapped,2023-12-30 03:42:54,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_with_remote_server,system/test_lldp.py,"V1, V2",
24,gw3,Regression,ft_ssh_service_disable,Pass,Mapped,2023-12-30 03:45:27,Test case passed,test_ft_ssh_service_disable,system/test_ssh.py,"V1, V2",
25,gw3,Control Plane ACL,test_ft_controlplane_acl_service_sshv6,ScriptError,Mapped,2023-12-30 03:48:06,Exception SPyTestCmdException Command Exception: sshpass -p 'YourPaSsWoRd' ssh -o UserKnownHostsFile=/dev/null -o StrictHostKeyChecking=no -o ConnectTimeout=30 admin@2.2.3.1 sudo show vlan config in file /spytest/net.py at line 1636,test_ft_ssh_add_user_verify,system/test_ssh.py,"V1, V2",
26,gw3,Control Plane ACL,test_ft_controlplane_acl_service_sshv4,ScriptError,Mapped,2023-12-30 03:48:06,Exception SPyTestCmdException Command Exception: sshpass -p 'YourPaSsWoRd' ssh -o UserKnownHostsFile=/dev/null -o StrictHostKeyChecking=no -o ConnectTimeout=30 admin@2.2.3.1 sudo show vlan config in file /spytest/net.py at line 1636,test_ft_ssh_add_user_verify,system/test_ssh.py,"V1, V2",
27,gw3,Control Plane ACL,test_ft_controlplane_acl_service_snmp,ScriptError,Mapped,2023-12-30 03:48:06,Exception SPyTestCmdException Command Exception: sshpass -p 'YourPaSsWoRd' ssh -o UserKnownHostsFile=/dev/null -o StrictHostKeyChecking=no -o ConnectTimeout=30 admin@2.2.3.1 sudo show vlan config in file /spytest/net.py at line 1636,test_ft_ssh_add_user_verify,system/test_ssh.py,"V1, V2",
28,gw3,Regression,ft_ssh_add_user_verify,ScriptError,Mapped,2023-12-30 03:48:06,Exception SPyTestCmdException Command Exception: sshpass -p 'YourPaSsWoRd' ssh -o UserKnownHostsFile=/dev/null -o StrictHostKeyChecking=no -o ConnectTimeout=30 admin@2.2.3.1 sudo show vlan config in file /spytest/net.py at line 1636,test_ft_ssh_add_user_verify,system/test_ssh.py,"V1, V2",
