#,Node,Module,Function,DUTs,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
1,gw4,batch/test_spytest_infra_1.py,test_spytest_infra_first,0,0,0,0,0.0,0.0,0.0
2,gw7,system/test_snapshot.py,test_ft_watermark_telemetry_interval,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,gw7,system/test_snapshot.py, --Module--,1,NE,NE,NE,NE,NE,NE
4,gw7,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
5,gw7,security/test_tacacs.py, --Module--,1,NE,NE,NE,NE,NE,NE
6,gw7,system/test_ntp.py,test_ft_ntp_disable_enable_with_message_log,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7,gw7,system/test_ntp.py,test_ntp_exists_config,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
8,gw7,system/test_ntp.py, --Module--,1,NE,NE,NE,NE,NE,NE
9,gw7,system/test_snmp.py,test_ft_snmp_sysName,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
10,gw7,system/test_snmp.py,test_ft_snmp_test_syUpTime,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
11,gw7,system/test_snmp.py,test_ft_snmp_sysDescr,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
12,gw7,system/test_snmp.py,test_ft_snmp_mib_2,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
13,gw7,system/test_snmp.py,test_ft_snmp_if_mib_all,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
14,gw7,system/test_snmp.py,test_ft_snmp_entity_mib_all,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
15,gw7,system/test_snmp.py,test_ft_snmp_dot1q_dot1db_mib,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
16,gw7,system/test_snmp.py,test_ft_snmp_root_node_walk,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
17,gw7,system/test_snmp.py,test_ft_snmp_ipAddressRowStatus_ipv6,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
18,gw7,system/test_snmp.py,test_ft_snmp_ipAddressStorageType_ipv6,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
19,gw7,system/test_snmp.py,test_ft_snmp_ipv6_If_Forward_default_HopLimit,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
