#,Module,Function,TestCase,Nodes
1,system/test_lldp.py,test_ft_lldp_LocManAddrLen,ft_lldp_LocManAddrLen,
2,system/test_lldp.py,test_ft_lldp_LocManAddrlfld,ft_lldp_LocManAddrlfld,
3,system/test_lldp.py,test_ft_lldp_LocManAddrEntry,ft_lldp_LocManAddrEntry,
4,system/test_lldp.py,test_ft_lldp_ConfigManAddrEntry,ft_lldp_ConfigManAddrEntry,
5,system/test_lldp.py,test_ft_lldp_lldplocportid,ft_lldp_lldplocportid,
6,system/test_lldp.py,test_ft_lldp_lldplocsysname,ft_lldp_lldplocsysname,
7,system/test_lldp.py,test_ft_lldp_lldplocsysdesc,ft_lldp_lldplocsysdesc,
8,system/test_lldp.py,test_ft_lldp_rem_man_addr_table,ft_snmp_lldp_prem_manaddr_table,
9,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn004,
10,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn008,
11,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn009,
12,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn010,
13,system/test_lldp.py,test_ft_lldp_non_default_config,FtOpSoSwlldpFn011,
14,system/test_lldp.py,test_ft_lldp_docker_restart,FtOpSoSwlldpFn013,
15,system/test_lldp.py,test_lldp_verify_counters,lldp_verify_counters,
16,system/test_lldp.py,test_ft_lldp_with_remote_server,ft_lldp_with_remote_server,
