#,Module,Function,TestCase,Node,Status
1,system/test_snapshot.py,test_ft_watermark_telemetry_interval,ft_sf_wm_telemetry_interval,gw4,Completed
2,system/test_snapshot.py,test_ft_watermark_telemetry_interval,ft_sf_snapshot_tam_Error_Logs,gw4,Completed
3,system/test_interface.py,test_ft_port_fn_verify_shut_noshut,FtOpSoSyInIpFn002,gw2,Completed
4,system/test_ssh.py,test_ft_ssh_service_disable,ft_ssh_service_disable,gw2,Completed
5,system/test_ssh.py,test_ft_ssh_add_user_verify,ft_ssh_add_user_verify,gw2,Completed
6,system/test_ssh.py,test_ft_ssh_add_user_verify,test_ft_controlplane_acl_service_snmp,gw2,Completed
7,system/test_ssh.py,test_ft_ssh_add_user_verify,test_ft_controlplane_acl_service_sshv4,gw2,Completed
8,system/test_ssh.py,test_ft_ssh_add_user_verify,test_ft_controlplane_acl_service_sshv6,gw2,Completed
9,system/test_ssh.py,test_ft_verify_logs_at_the_time_of_ssh_login_success,CETA_SONIC_67575,gw2,Completed
10,switching/test_vlan.py,test_ft_add_unknownvlan_interface,ft_add_unknownvlan_interface,gw3,Completed
11,switching/test_vlan.py,test_ft_vlan_delete_with_member,ft_vlan_delete_with_member,gw3,Completed
12,switching/test_vlan.py,test_ft_vlan_trunk_tagged,ft_show_vlan_brief,gw3,Completed
13,switching/test_vlan.py,test_ft_vlan_trunk_tagged,ft_vlan_trunk_tagged,gw3,Completed
14,switching/test_vlan.py,test_ft_vlan_save_config_warm_and_fast_reboot,FtOpSoSysFRFn005,gw3,Completed
15,switching/test_vlan.py,test_ft_vlan_save_config_warm_and_fast_reboot,ft_max_vlan_save_reload,gw3,Completed
16,switching/test_vlan.py,test_ft_vlan_save_config_warm_and_fast_reboot,ft_reboot_fdb_fast_reboot,gw3,Completed
17,switching/test_portchannel.py,test_ft_portchannel_with_vlan_variations,FtOpSoSwLagFn041,gw2,Completed
18,switching/test_portchannel.py,test_ft_portchannel_with_vlan_variations,FtOpSoSwLagFn042,gw2,Completed
19,switching/test_portchannel.py,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,FtOpSoSwPominFn007,gw2,Completed
20,system/test_snmp.py,test_ft_snmp_sysName,ft_snmp_sysName,gw4,Completed
21,system/test_snmp.py,test_ft_snmp_test_syUpTime,ft_snmp_test_syUpTime,gw4,Completed
22,system/test_snmp.py,test_ft_snmp_sysDescr,ft_snmp_sysDescr,gw4,Completed
23,system/test_snmp.py,test_ft_snmp_mib_2,FtOpSoSySnFn008,gw4,Completed
24,system/test_snmp.py,test_ft_snmp_if_mib_all,FtOpSoSySnFn009,gw4,Completed
25,system/test_snmp.py,test_ft_snmp_entity_mib_all,FtOpSoSySnFn010,gw4,Completed
26,system/test_snmp.py,test_ft_snmp_dot1q_dot1db_mib,FtOpSoSySnFn012,gw4,Completed
27,system/test_snmp.py,test_ft_snmp_dot1q_dot1db_mib,FtOpSoSySnFn013,gw4,Completed
28,system/test_snmp.py,test_ft_snmp_root_node_walk,FtOpSoSySnFn015,gw4,Completed
29,system/test_snmp.py,test_ft_snmp_ipAddressRowStatus_ipv6,FtOpSoSySnFn016,gw4,Completed
30,system/test_snmp.py,test_ft_snmp_ipAddressStorageType_ipv6,FtOpSoSySnFn017,gw4,Completed
31,system/test_snmp.py,test_ft_snmp_ipv6_If_Forward_default_HopLimit,FtOpSoSySnFn020,gw4,Completed
32,system/test_snmp.py,test_ft_snmp_ipv6scope_index_table,FtOpSoSySnFn021,gw4,Completed
33,system/test_snmp.py,test_ft_snmp_ip_forward_table,test_snmp_ip_forward_table,gw4,Completed
34,system/test_snmp.py,test_ft_snmp_ifx_table,ft_snmp_ifXTable,gw4,Completed
35,system/test_snmp.py,test_ft_snmp_ip_System_Stats_Table,ft_snmp_ip_System_Stats_Table,gw4,Completed
36,system/test_snmp.py,test_ft_snmp_ip_IfStats_Table,ft_snmp_ip_IfStats_Table,gw4,Completed
37,system/test_snmp.py,test_ft_snmp_ip_Address_Table,ft_snmp_ip_Address_Table,gw4,Completed
38,system/test_snmp.py,test_ft_snmp_ip_NetToPhysical_Table,ft_snmp_ip_NetToPhysical_Table,gw4,Completed
39,system/test_snmp.py,test_ft_snmp_icmp_Msgs,ft_snmp_icmp_Msgs,gw4,Completed
40,system/test_snmp.py,test_ft_snmp_tcp_mib,ft_snmp_tcp_mib,gw4,Completed
41,system/test_snmp.py,test_ft_snmp_udp_mib,ft_snmp_udp_mib,gw4,Completed
42,system/test_snmp.py,test_ft_snmp_snmpv2_mib,ft_snmp_snmpv2_mib,gw4,Completed
43,system/test_snmp.py,test_ft_snmp_host_resource_mib,ft_snmp_host_resource_mib,gw4,Completed
44,system/test_snmp.py,test_ft_snmp_framework_mib,ft_snmp_framework_mib,gw4,Completed
45,system/test_snmp.py,test_ft_snmp_mpd_mib,ft_snmp_mpd_mib,gw4,Completed
46,system/test_snmp.py,test_ft_snmp_target_mib,ft_snmp_target_mib,gw4,Completed
47,system/test_snmp.py,test_ft_snmp_notification_mib,ft_snmp_notification_mib,gw4,Completed
48,system/test_snmp.py,test_ft_snmp_user_based_sm_mib,ft_snmp_user_based_sm_mib,gw4,Completed
49,system/test_snmp.py,test_ft_snmp_view_based_acm_mib,ft_snmp_view_based_acm_mib,gw4,Completed
50,system/test_snmp.py,test_ft_snmp_ent_physical_table,ft_snmp_ent_physical_table,gw4,Completed
51,system/test_snmp.py,test_ft_snmp_dot3_stats_table,ft_snmp_dot3_stats_table,gw4,Completed
52,system/test_snmp.py,test_ft_net_snmp_agent_mib,ft_net_snmp_agent_mib,gw4,Completed
53,system/test_snmp.py,test_ft_net_snmp_vacm_mib,ft_net_snmp_vacm_mib,gw4,Completed
54,system/test_snmp.py,test_ft_snmp_ucd_diskio_mib,ft_snmp_ucd_diskio_mib,gw4,Completed
55,system/test_snmp.py,test_ft_snmp_ucd_la_table,ft_snmp_ucd_la_table,gw4,Completed
56,system/test_snmp.py,test_ft_snmp_ucd_system_stats,ft_snmp_ucd_system_stats,gw4,Completed
57,system/test_snmp.py,test_ft_snmp_dot1q_tp_fdb_port,SNMPQBr003,gw4,Completed
58,system/test_snmp.py,test_ft_snmp_dot1q_tp_fdb_address,SNMPQBr002,gw4,Completed
59,system/test_snmp.py,test_ft_snmp_coldstart_trap,SNMPTrap004,gw4,Completed
60,system/test_snmp.py,test_ft_snmp_coldstart_trap,FtOpSoSysImLogFn012,gw4,Completed
61,system/test_snmp.py,test_ft_snmp_docker_restart,FtOpSoSySnFn023,gw4,Completed
62,system/test_ntp.py,test_ft_ntp_disable_enable_with_message_log,ft_ntp_disable_ntp_enable_ntp,gw4,Completed
63,system/test_ntp.py,test_ft_ntp_disable_enable_with_message_log,ft_ntp_message_log_display_with_correct_time,gw4,Completed
64,system/test_ntp.py,test_ntp_exists_config,ft_ntp_existsconfig,gw4,Completed
