#,Node,Module,Function,Result,Test Time,Helper Time,CMD Time,TG Time,Wait,TGWait,PROMPT NFOUND,TECH SUPPORT,Description
1,gw4,system/test_snapshot.py,test_ft_watermark_telemetry_interval,,0:00:33,0:00:00.000,0:00:08.525,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
2,gw4,system/test_snapshot.py,test_ft_watermark_telemetry_interval,Pass,0:00:15,0:00:00.000,0:00:07.610,0:00:00.000,0:00:00,0:00:00,0,0,verification of configured telemetry interval and reset to default interval is successful
3,gw4,system/test_snmp.py,test_ft_snmp_sysName,,0:01:39,0:00:19.440,0:00:34.202,0:00:00.000,0:00:02,0:00:00,0,0,Module Configuration
4,gw4,system/test_snmp.py,test_ft_snmp_sysName,Pass,0:00:05,0:00:00.000,0:00:00.258,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
5,gw4,system/test_snmp.py,test_ft_snmp_test_syUpTime,Pass,0:00:06,0:00:00.000,0:00:00.662,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
6,gw4,system/test_snmp.py,test_ft_snmp_sysDescr,Pass,0:00:08,0:00:00.000,0:00:01.386,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
7,gw4,system/test_snmp.py,test_ft_snmp_mib_2,Pass,0:00:10,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
8,gw4,system/test_snmp.py,test_ft_snmp_if_mib_all,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
9,gw4,system/test_snmp.py,test_ft_snmp_entity_mib_all,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
10,gw4,system/test_snmp.py,test_ft_snmp_dot1q_dot1db_mib,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
11,gw4,system/test_snmp.py,test_ft_snmp_root_node_walk,Pass,0:00:13,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
12,gw4,system/test_snmp.py,test_ft_snmp_ipAddressRowStatus_ipv6,Pass,0:00:10,0:00:00.000,0:00:02.295,0:00:00.000,0:00:02,0:00:00,0,0,Test case passed
13,gw4,system/test_snmp.py,test_ft_snmp_ipAddressStorageType_ipv6,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
14,gw4,system/test_snmp.py,test_ft_snmp_ipv6_If_Forward_default_HopLimit,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
15,gw4,system/test_snmp.py,test_ft_snmp_ipv6scope_index_table,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
16,gw4,system/test_snmp.py,test_ft_snmp_ip_forward_table,Pass,0:00:07,0:00:00.000,0:00:01.287,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
17,gw4,system/test_snmp.py,test_ft_snmp_ifx_table,Pass,0:00:06,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
18,gw4,system/test_snmp.py,test_ft_snmp_ip_System_Stats_Table,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
19,gw4,system/test_snmp.py,test_ft_snmp_ip_IfStats_Table,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
20,gw4,system/test_snmp.py,test_ft_snmp_ip_Address_Table,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
21,gw4,system/test_snmp.py,test_ft_snmp_ip_NetToPhysical_Table,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
22,gw4,system/test_snmp.py,test_ft_snmp_icmp_Msgs,Pass,0:00:05,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
23,gw4,system/test_snmp.py,test_ft_snmp_tcp_mib,Pass,0:00:18,0:00:00.000,0:00:00.000,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
