Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,80.30%,132,106,26,6,84.13%,3:06:24,0,3.03%,0.00%,0.00%,1.52%,5:58:05
NAT,0.00%,3,0,3,3,0.00%,0:12:48,0,100.00%,0.00%,0.00%,0.00%,0:12:48
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:34:03,0,0.00%,0.00%,0.00%,0.00%,1:08:06
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,1,0.00%,0:00:00,0,100.00%,0.00%,0.00%,0.00%,0:00:00
RIF Counters,50.00%,4,2,2,1,66.67%,0:02:11,0,0.00%,0.00%,0.00%,25.00%,0:04:22
L3 Performance enhancements,50.00%,2,1,1,0,50.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:10:43,0,0.00%,0.00%,0.00%,0.00%,0:21:26
VRF-Lite,80.95%,21,17,4,0,80.95%,0:43:23,0,0.00%,0.00%,0.00%,0.00%,1:26:46
Regression,88.30%,94,83,11,1,89.25%,1:23:16,0,0.00%,0.00%,0.00%,1.06%,2:44:37
