#,Node,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,gw1,Regression,ft_bgp_confedv6_config_adv,Pass,Mapped,2024-01-03 00:47:54,Test case passed,TestBGPConfed.test_ipv6_confed_route_distribution,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4",
2,gw1,Regression,ft_bgp_confedv6_route_reflector,Pass,Mapped,2024-01-03 00:48:40,Test case passed,TestBGPConfed.test_ipv6_confed_with_rr,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4",
3,gw1,Regression,ft_bgp_confedv6_route_maps_filter,Pass,Mapped,2024-01-03 00:49:18,Test case passed,TestBGPConfed.test_confed_route_distribution_with_rmap,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4",
4,gw1,Regression,ft_bgp_ibgp_RR_Loop,Pass,Mapped,2024-01-03 00:50:01,Test case passed,test_ft_bgp_ibgp_RR_Loop,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4",
5,gw1,Regression,test_ft_bgp_ebgp_community_sub,Pass,Mapped,2024-01-03 00:54:18,Test case passed,test_ft_bgp_ebgp_community_map,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4",
6,gw1,Regression,ft_bgp_ebgp_community_map,Pass,Mapped,2024-01-03 00:54:18,Test case passed,test_ft_bgp_ebgp_community_map,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4",
7,gw2,VRF-Lite,FtOpSoRoVrfCli006,DUTFail,Mapped,2024-01-03 01:07:19,config command 'sudo sonic_installer list' failed,test_VrfFun001_06,routing/VRF/test_vrf.py,"V3, V4",
8,gw2,VRF-Lite,FtOpSoRoVrfCli001,DUTFail,Mapped,2024-01-03 01:07:19,config command 'sudo sonic_installer list' failed,test_VrfFun001_06,routing/VRF/test_vrf.py,"V3, V4",
9,gw2,VRF-Lite,FtOpSoRoVrfFun037,Pass,Mapped,2024-01-03 01:07:47,Test case passed,test_VrfFun_26_27,routing/VRF/test_vrf.py,"V3, V4",
10,gw2,VRF-Lite,FtOpSoRoVrfFun027,Pass,Mapped,2024-01-03 01:07:47,Test case passed,test_VrfFun_26_27,routing/VRF/test_vrf.py,"V3, V4",
