Feature,Regression?,TestCase,Result,Description,Function,Module,Devices,Analisis,DUT Defect ID,SQA Defect ID,Engineer,Only Pending
Regression,,ft_bgp_confedv6_config_adv,Pass,Test case passed,TestBGPConfed.test_ipv6_confed_route_distribution,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4",,,,,
Regression,,ft_bgp_confedv6_route_reflector,Pass,Test case passed,TestBGPConfed.test_ipv6_confed_with_rr,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4",,,,,
Regression,,ft_bgp_confedv6_route_maps_filter,Pass,Test case passed,TestBGPConfed.test_confed_route_distribution_with_rmap,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4",,,,,
Regression,,ft_bgp_ibgp_RR_Loop,Pass,Test case passed,test_ft_bgp_ibgp_RR_Loop,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4",,,,,
Regression,,test_ft_bgp_ebgp_community_sub,Pass,Test case passed,test_ft_bgp_ebgp_community_map,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4",,,,,
Regression,,ft_bgp_ebgp_community_map,Pass,Test case passed,test_ft_bgp_ebgp_community_map,routing/BGP/test_bgp_4node.py,"V1, V2, V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfCli006,DUTFail,config command 'sudo sonic_installer list' failed,test_VrfFun001_06,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfCli001,DUTFail,config command 'sudo sonic_installer list' failed,test_VrfFun001_06,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun037,Pass,Test case passed,test_VrfFun_26_27,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun027,Pass,Test case passed,test_VrfFun_26_27,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun026,Pass,Test case passed,test_VrfFun_26_27,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun014,Pass,Test case passed,test_VrfFun_10_12_14,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun012,Pass,Test case passed,test_VrfFun_10_12_14,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun010,Pass,Test case passed,test_VrfFun_10_12_14,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun045,Pass,Test case passed,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun044,Pass,Test case passed,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun033,Pass,Test case passed,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun032,Pass,Test case passed,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun025,Pass,Test case passed,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun024,Pass,Test case passed,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun020,Pass,Test case passed,test_VrfFun_20_24_25_32_33_44_45,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfFun050,Pass,Test case passed,test_VrfFun_05_50,routing/VRF/test_vrf.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfCli005,Pass,Test case passed,test_VrfFun_05_50,routing/VRF/test_vrf.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgpPlFn006,Pass,Test case passed,TestBGPRif.test_ft_bgp_v6_link_local_bgp,routing/BGP/test_bgp.py,"V3, V4",,,,,
In-Memory Debug Log,,FtOpSoSysImLogFn018,Fail,Test case Failed.,TestBGPRif.test_ft_bgp_v6_link_local_bgp,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,ft_bgp_v6peer_vtysh_clear,Pass,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,ft_bgp_v6peer_sonic_clear,Pass,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,ft_bgp_v6peer_auth_simple,Pass,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,ft_bgp_v4peer_vtysh_clear,Pass,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,ft_bgp_v4peer_sonic_clear,Pass,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,ft_bgp_v4peer_auth_simple,Pass,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,ft_bgp_v4peer_asn4,Pass,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,ft_bgp_sonic_show_summary_neigh,Pass,Test case passed,TestBGPRif.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,ft_ipv4_bgp_ibgp_ebgp_traffic,Pass,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,ft_bgp_update_delay_timer,Pass,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgp4Fn049,Pass,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgp4Fn025,Pass,Test case passed,TestBGPRif.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgp4Fn063,Pass,Test case passed,TestBGPRif.test_ft_bgp_graceful_restart_and_aware_routers,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgp4Fn001,Fail,Test case Failed.,TestBGPRif.test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgp4Fn002,Fail,Test case Failed.,TestBGPRif.test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgp4Fn061,Fail,Test case Failed Neighbour is failed to Establish between Leaf - TG,TestBGPRif.test_bgp_route_aggregation_4byteASN,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgpPlFn001,Pass,Test case passed,TestBGPRif.test_ft_bgp_ipv6_route_aggregation_with_as_set,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgp4Fn060,Pass,Test case passed,TestBGPRif.test_ft_bgp_v4_dyn_nbr,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgpPlFn004,Pass,Test case passed,TestBGPRif.test_ft_bgp_v6_dyn_nbr,routing/BGP/test_bgp.py,"V3, V4",,,,,
L3 Scale and Performance,,FtRtPerfFn024,Fail,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_scale,routing/VRF/test_vrf_scale.py,"V1, V2",,,,,
L3 Scale and Performance,,FtRtPerfFn023,Fail,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_scale,routing/VRF/test_vrf_scale.py,"V1, V2",,,,,
