#,Module,TestFunction,Result,TimeTaken,ExecutedOn,Syslogs,FCLI,TSSH,DCNT,Description,Devices,KnownIssue,Doc
1,routing/VRF/test_vrf.py,,,0:07:56,2024-01-05 01:08:11,0,1,0,2,Module Prolog,"V1, V2",,
2,routing/VRF/test_vrf.py,test_VrfFun001_06,DUTFail,0:00:10,2024-01-05 01:08:15,0,1,0,2,config command 'sudo sonic_installer list' failed,"V1, V2",,
3,routing/VRF/test_vrf.py,test_VrfFun_26_27,Pass,0:00:29,2024-01-05 01:08:43,0,1,0,2,Test case passed,"V1, V2",,
4,routing/VRF/test_vrf.py,test_VrfFun_10_12_14,Pass,0:01:51,2024-01-05 01:10:33,0,1,0,2,Test case passed,"V1, V2",,
5,routing/VRF/test_vrf.py,test_VrfFun_20_24_25_32_33_44_45,Pass,0:00:44,2024-01-05 01:11:17,0,1,0,2,Test case passed,"V1, V2",,
6,routing/VRF/test_vrf.py,test_VrfFun_05_50,Pass,0:06:58,2024-01-05 01:18:14,0,1,0,2,Test case passed,"V1, V2",,
7,routing/VRF/test_vrf.py,,,0:00:05,2024-01-05 01:18:19,0,1,0,2,Module Epilog,"V1, V2",,
8,routing/VRF/test_vrf_scale.py,,,0:28:33,2024-01-05 01:48:42,0,1,0,2,Module Prolog,"V1, V2",,
9,routing/VRF/test_vrf_scale.py,test_vrf_scale,Fail,0:07:30,2024-01-05 01:56:05,0,1,0,2,"Command 'show vrf' failed to give prompt, recovered using CTRL+C","V1, V2",,
10,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,Pass,0:02:06,2024-01-05 01:58:10,0,1,0,2,Test case passed,"V1, V2",,
11,routing/VRF/test_vrf_scale.py,test_vrf_bgp,Pass,0:09:44,2024-01-05 02:07:54,0,1,0,2,Test case passed,"V1, V2",,
12,routing/VRF/test_vrf_scale.py,test_vrf_reload,Fail,0:13:36,2024-01-05 02:21:29,0,1,0,2,"Command 'show vrf' failed to give prompt, recovered using CTRL+C","V1, V2",,
13,routing/VRF/test_vrf_scale.py,,,0:00:05,2024-01-05 02:21:34,0,1,0,2,Module Epilog,"V1, V2",,
14,routing/BGP/test_bgp_rr_traffic.py,,,0:04:42,2024-01-05 02:31:42,0,1,0,2,Module Prolog,"V1, V2",,
15,routing/BGP/test_bgp_rr_traffic.py,TestBGPRrTraffic.test_ft_bgp6_rr_traffic_check,Pass,0:02:36,2024-01-05 02:34:12,0,1,0,2,Test case passed,"V1, V2",,
16,routing/BGP/test_bgp_rr_traffic.py,,,0:00:53,2024-01-05 02:35:05,0,1,0,2,Module Epilog,"V1, V2",,
17,sanity/test_sanity_l3.py,,,0:02:57,2024-01-05 02:40:14,0,1,0,2,Module Prolog,"V1, V2",,
18,sanity/test_sanity_l3.py,test_l2_to_l3_port,Fail,0:00:54,2024-01-05 02:41:03,0,1,0,2,Failed to port L2 config to L3 config,"V1, V2",,
19,sanity/test_sanity_l3.py,,,0:00:17,2024-01-05 02:41:19,0,1,0,2,Module Epilog,"V1, V2",,
