#,Module,Function,TestCase,Node,Type
1,routing/test_ip.py,test_l3_v4_route_po_1,FtOpSoRtIpv4Fn003,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
2,routing/test_ip.py,test_ft_ping_v4_v6_vlan,ft_ipv4_address_check ,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
3,routing/test_ip.py,test_ft_ping_v4_v6_vlan,ft_ipv6_address_check ,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
4,routing/test_ip.py,test_ft_ping_v4_v6_vlan,ft_ping_vlan ,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
5,routing/test_ip.py,test_ft_ping_v4_v6_after_ip_change_pc,ft_ip6_address_check_pc,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
6,routing/test_ip.py,test_ft_ping_v4_v6_after_ip_change_pc,ft_ip_address_check_pc,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
7,routing/test_ip.py,test_ft_ping_v4_v6_after_ip_change_pc,ft_ping6_after_ip_change,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
8,routing/test_ip.py,test_ft_ping_v4_v6_after_ip_change_pc,ft_ping_after_ip_change,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
9,routing/test_ip.py,test_ft_ping_v4_v6_after_ip_change_pc,CETA_SONIC_40640,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
10,routing/test_ip.py,test_ft_ip6_static_route_traffic_forward_blackhole,ft_ip6_connected_host_traffic_forward,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
11,routing/test_ip.py,test_ft_ip6_static_route_traffic_forward_blackhole,ft_ip6_static_route_traffic_forward ,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
12,routing/test_ip.py,test_ft_ip6_static_route_traffic_forward_blackhole,ft_ip6_static_route_traffic_fwd_blackhole ,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
13,routing/test_ip.py,test_ft_ip6_static_route_traffic_forward_blackhole,RIF_COUNT_FUNC_0031,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
14,routing/test_ip.py,test_ft_ip_static_route_traffic_forward,ft_ip_static_route_traffic_forward,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
15,routing/test_ip.py,test_ft_ip_static_route_traffic_forward,RIF_COUNT_FUNC_001,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
16,routing/test_ip.py,test_ft_ip_static_route_traffic_forward,RIF_COUNT_FUNC_021,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
17,routing/test_ip.py,test_ft_ip_v4_v6_L2_L3_translation,ft_ip6_L2_L3_translation,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
18,routing/test_ip.py,test_ft_ip_v4_v6_L2_L3_translation,ft_ip_L2_L3_translation,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
19,routing/test_ip.py,test_ft_verify_interfaces_order,ipv4_intf_order,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
20,routing/test_ip.py,test_ft_verify_interfaces_order,ipv6_intf_order,<a href='gw3/results_logs.log'>gw3</a>,PARTIAL
