#,Module,Function,DUT,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
0,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_route_distribution,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_route_distribution,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_route_distribution,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_route_distribution,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_with_rr,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_with_rr,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_with_rr,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_with_rr,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_confed_route_distribution_with_rmap,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_confed_route_distribution_with_rmap,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_confed_route_distribution_with_rmap,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_confed_route_distribution_with_rmap,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/BGP/test_bgp_4node.py,test_ft_bgp_ibgp_RR_Loop,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/BGP/test_bgp_4node.py,test_ft_bgp_ibgp_RR_Loop,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/BGP/test_bgp_4node.py,test_ft_bgp_ibgp_RR_Loop,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/BGP/test_bgp_4node.py,test_ft_bgp_ibgp_RR_Loop,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/BGP/test_bgp_4node.py,test_ft_bgp_ebgp_community_map,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/BGP/test_bgp_4node.py,test_ft_bgp_ebgp_community_map,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/BGP/test_bgp_4node.py,test_ft_bgp_ebgp_community_map,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/BGP/test_bgp_4node.py,test_ft_bgp_ebgp_community_map,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
5,routing/BGP/test_bgp_4node.py,--Module--,V1,NE,NE,NE,NE,NE,NE
5,routing/BGP/test_bgp_4node.py,--Module--,V2,NE,NE,NE,NE,NE,NE
5,routing/BGP/test_bgp_4node.py,--Module--,V3,NE,NE,NE,NE,NE,NE
5,routing/BGP/test_bgp_4node.py,--Module--,V4,NE,NE,NE,NE,NE,NE
