2023-12-31 00:55:53,677 T0006: [D2-V2] ['export TMOUT=0', 'stty cols 5000', 'uptime']
2023-12-31 00:55:53,680 T0005: [D1-V1] ['export TMOUT=0', 'stty cols 5000', 'uptime']
2023-12-31 00:55:54,355 T0006: [D2-V2] cat /proc/uptime
2023-12-31 00:55:54,360 T0005: [D1-V1] cat /proc/uptime
2023-12-31 00:55:55,021 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:55:55,028 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:01,062 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:01,064 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:07,104 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:07,105 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:13,140 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:13,143 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:19,171 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:19,172 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:25,267 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:25,269 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:31,304 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:31,356 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:37,331 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:37,379 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:43,359 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:43,407 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:49,388 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:49,489 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:55,416 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:56:55,522 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:01,448 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:01,550 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:07,471 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:07,579 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:13,498 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:13,660 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:19,525 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:19,734 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:25,604 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:25,761 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:31,631 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:31,789 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:37,660 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:37,864 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:43,735 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:43,939 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:49,824 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2023-12-31 00:57:50,020 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
