Testcase,Function,Module,Pass Rate,339663,338756,337942,337263,336656,335805,335008,334260,333459,332672,331298,329786,329025,328236
ft_add_unknownvlan_interface,test_ft_add_unknownvlan_interface,switching/test_vlan.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_vlan_delete_with_member,test_ft_vlan_delete_with_member,switching/test_vlan.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSwLagFn042,test_ft_portchannel_with_vlan_variations,switching/test_portchannel.py,92,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
FtOpSoSwLagFn041,test_ft_portchannel_with_vlan_variations,switching/test_portchannel.py,92,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
FtOpSoSwPominFn007,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,switching/test_portchannel.py,92,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,ConfigFail,Pass
ft_vlan_trunk_tagged,test_ft_vlan_trunk_tagged,switching/test_vlan.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_show_vlan_brief,test_ft_vlan_trunk_tagged,switching/test_vlan.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_ssh_service_disable,test_ft_ssh_service_disable,system/test_ssh.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
test_ft_controlplane_acl_service_sshv6,test_ft_ssh_add_user_verify,system/test_ssh.py,0,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail
test_ft_controlplane_acl_service_sshv4,test_ft_ssh_add_user_verify,system/test_ssh.py,0,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail
