Feature Name,Pass Rate,Executed,Pass,Non Pass,Not Run,Effective Pass Rate,Exec Time,SysLogs,Env Fail Rate,Skipped Rate,Script Error Rate,Unsupported Rate,CDT
,61.07%,131,80,51,21,72.73%,2:43:01,0,15.27%,0.00%,0.00%,0.76%,5:19:53
RIF Counters,0.00%,3,0,3,3,0.00%,0:00:00,0,100.00%,0.00%,0.00%,0.00%,0:00:00
L3 Scale and Performance,0.00%,2,0,2,0,0.00%,0:28:26,0,0.00%,0.00%,0.00%,0.00%,0:56:52
L3 Performance enhancements,0.00%,2,0,2,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
In-Memory Debug Log,0.00%,1,0,1,0,0.00%,0:00:00,0,0.00%,0.00%,0.00%,0.00%,0:00:00
Sanity,0.00%,1,0,1,0,0.00%,0:04:12,0,0.00%,0.00%,0.00%,0.00%,0:08:24
VRF-Lite,19.05%,21,4,17,0,19.05%,0:44:53,0,0.00%,0.00%,0.00%,0.00%,1:29:46
Regression,74.47%,94,70,24,18,92.11%,1:16:34,0,18.09%,0.00%,0.00%,1.06%,2:29:34
sFlow Hardening,75.00%,4,3,1,0,75.00%,0:06:21,0,0.00%,0.00%,0.00%,0.00%,0:12:42
NAT,100.00%,3,3,0,0,100.00%,0:02:35,0,0.00%,0.00%,0.00%,0.00%,0:02:35
