Module Name,TC Pass Rate,TC Count,TC Pass,Sys Logs,CDT,FCLI,TSSH,DCNT,Prolog Time,Epilog Time,Func Time,Exec Time,Pass Rate,FCNT,Pass,Fail,Dut Fail,TGen Fail,Script Error,Not Supported,Config Fail,Env Fail,Dep Fail,Skipped,Timeout,Topo Fail,Node,TS
,58.14%,86,50,0,1:25:29,9,0,14,0:11:57,0:08:19,0:30:50,0:51:06,68.18%,66,45,18,0,0,1,0,1,1,0,0,0,0,,0
system/test_lldp.py,0.00%,16,0,0,0:14:34,1,0,2,0:03:35,0:03:42,0:00:00,0:07:17,0.00%,12,0,12,0,0,0,0,0,0,0,0,0,0,3,0
switching/test_portchannel.py,0.00%,3,0,0,0:07:44,1,0,2,0:00:48,0:00:32,0:02:32,0:03:52,0.00%,2,0,1,0,0,0,0,1,0,0,0,0,0,2,0
system/test_interface.py,0.00%,1,0,0,0:06:52,1,0,2,0:01:42,0:00:29,0:01:15,0:03:26,0.00%,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0
security/test_tacacs.py,0.00%,6,0,0,0:01:17,1,0,1,0:00:32,0:00:39,0:00:06,0:01:17,0.00%,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0
system/test_ssh.py,66.67%,6,4,0,0:23:20,1,0,2,0:01:09,0:00:51,0:09:40,0:11:40,66.67%,3,2,1,0,0,0,0,0,0,0,0,0,0,2,0
switching/test_vlan.py,57.14%,7,4,0,0:16:16,1,0,2,0:00:39,0:00:26,0:07:03,0:08:08,75.00%,4,3,0,0,0,1,0,0,0,0,0,0,0,3,0
system/test_snmp.py,90.48%,42,38,0,0:07:32,1,0,1,0:02:11,0:00:44,0:04:37,0:07:32,92.50%,40,37,2,0,0,0,0,0,1,0,0,0,0,5,0
system/test_ntp.py,100.00%,3,3,0,0:06:14,1,0,1,0:00:28,0:00:24,0:05:22,0:06:14,100.00%,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0
system/test_snapshot.py,50.00%,2,1,0,0:01:40,1,0,1,0:00:53,0:00:32,0:00:15,0:01:40,100.00%,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0
