#,Node,Module,TestFunction,Result,TimeTaken,ExecutedOn,Syslogs,FCLI,TSSH,DCNT,Description,Devices,KnownIssue,Doc
1,gw1,routing/BGP/test_bgp_4node.py,,,0:01:44,2023-12-29 22:44:58,0,1,0,4,Module Prolog,"V1, V2, V3, V4",,
2,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed.test_ipv6_confed_route_distribution,Pass,0:00:22,2023-12-29 22:45:14,0,1,0,4,Test case passed,"V1, V2, V3, V4",,
3,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed.test_ipv6_confed_with_rr,Pass,0:00:52,2023-12-29 22:46:05,0,1,0,4,Test case passed,"V1, V2, V3, V4",,
4,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed.test_confed_route_distribution_with_rmap,Pass,0:00:43,2023-12-29 22:46:47,0,1,0,4,Test case passed,"V1, V2, V3, V4",,
5,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ibgp_RR_Loop,Pass,0:00:37,2023-12-29 22:47:30,0,1,0,4,Test case passed,"V1, V2, V3, V4",,Verify the functioning of iBGP Route-Reflector cluster loop
6,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ebgp_community_map,Pass,0:04:18,2023-12-29 22:51:47,0,1,0,4,Test case passed,"V1, V2, V3, V4",,Verify the functioning of eBGP communities
7,gw1,routing/BGP/test_bgp_4node.py,,,0:00:33,2023-12-29 22:52:20,0,1,0,4,Module Epilog,"V1, V2, V3, V4",,
8,gw2,routing/BGP/test_bgp.py,,,0:03:50,2023-12-29 23:02:15,0,1,0,2,Module Prolog,"V3, V4",,
9,gw3,routing/VRF/test_vrf.py,,,0:08:10,2023-12-29 23:06:41,0,1,0,2,Module Prolog,"V1, V2",,
10,gw2,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_v6_link_local_bgp,Fail,0:04:44,2023-12-29 23:06:54,0,1,0,2,The operation is failed.,"V3, V4",,Verify that BGP peer session is established with v6 link local address
11,gw2,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_clear,Pass,0:00:16,2023-12-29 23:07:10,0,1,0,2,Test case passed,"V3, V4",,
12,gw3,routing/VRF/test_vrf.py,test_VrfFun001_06,Fail,0:00:43,2023-12-29 23:07:18,0,1,0,2,STEP 12 FAIL: IPv4 BGP session on VRF-102 did not come up,"V1, V2",,
13,gw3,routing/VRF/test_vrf.py,test_VrfFun_26_27,Pass,0:00:30,2023-12-29 23:07:48,0,1,0,2,Test case passed,"V1, V2",,
14,gw3,routing/VRF/test_vrf.py,test_VrfFun_10_12_14,Fail,0:02:18,2023-12-29 23:10:05,0,1,0,2,"Static route between VRFs failed for VRf-101, VRF-102 and VRF-103. STEP 3 FAIL: IPv4 Ping from Vrf-102-DUT1 to Vrf-102-DUT2 failed after static route configuration. STEP 4 FAIL: IPv6 Ping from Vrf-102-DUT1 to Vrf-102-DUT2 failed after static route configuration. STEP 5 FAIL: IPv4 Ping from Vrf-103-DUT1 to Vrf-103-DUT2 failed after static route configuration. STEP 6 FAIL: IPv6 Ping from Vrf-103-DUT1 to Vrf-103-DUT2 failed after static route configuration","V1, V2",,
15,gw2,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_peer_traffic_check,Pass,0:03:33,2023-12-29 23:10:42,0,1,0,2,Test case passed,"V3, V4",,
16,gw2,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_graceful_restart_and_aware_routers,Pass,0:00:13,2023-12-29 23:10:55,0,1,0,2,Test case passed,"V3, V4",,
17,gw3,routing/VRF/test_vrf.py,test_VrfFun_20_24_25_32_33_44_45,Fail,0:01:02,2023-12-29 23:11:07,0,1,0,2,"Static route between VRFs failed for VRf-101, VRF-102 and VRF-103. STEP 1 FAIL: IPv4 BGP session on VRF-102 did not come up. STEP 2 FAIL: IPv6 BGP session on VRF-102 did not come up. STEP 3 FAIL: IPv4 BGP session on VRF-103 did not come up. STEP 4 FAIL: IPv6 BGP session on VRF-103 did not come up","V1, V2",,
18,gw2,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,Fail,0:01:42,2023-12-29 23:12:36,0,1,0,2,Test case Failed.,"V3, V4",,
19,gw2,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set,Fail,0:01:41,2023-12-29 23:14:16,0,1,0,2,Test case Failed.,"V3, V4",,
20,gw2,routing/BGP/test_bgp.py,TestBGPRif.test_bgp_route_aggregation_4byteASN,Fail,0:00:41,2023-12-29 23:14:56,0,1,0,2,Test case Failed Neighbour is failed to Establish between Leaf - TG,"V3, V4",,
21,gw2,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_ipv6_route_aggregation_with_as_set,Pass,0:01:02,2023-12-29 23:15:58,0,1,0,2,Test case passed,"V3, V4",,
