Feature,Regression?,TestCase,Result,Description,Function,Module,Devices,Analisis,DUT Defect ID,SQA Defect ID,Engineer,Only Pending
Regression,,ft_add_unknownvlan_interface,Pass,Test case passed,test_ft_add_unknownvlan_interface,switching/test_vlan.py,"V1, V2",,,,,
Regression,,ft_vlan_delete_with_member,Pass,Test case passed,test_ft_vlan_delete_with_member,switching/test_vlan.py,"V1, V2",,,,,
Regression,,ft_vlan_trunk_tagged,Pass,Test case passed,test_ft_vlan_trunk_tagged,switching/test_vlan.py,"V1, V2",,,,,
Regression,,ft_show_vlan_brief,Pass,Test case passed,test_ft_vlan_trunk_tagged,switching/test_vlan.py,"V1, V2",,,,,
Regression,,FtOpSoSwLagFn042,Fail,"Portchannel PortChannel7 on V4 with member ['Ethernet48', 'Ethernet52'] verification failed",test_ft_portchannel_with_vlan_variations,switching/test_portchannel.py,"V3, V4",,,,,
Regression,,FtOpSoSwLagFn041,Fail,"Portchannel PortChannel7 on V4 with member ['Ethernet48', 'Ethernet52'] verification failed",test_ft_portchannel_with_vlan_variations,switching/test_portchannel.py,"V3, V4",,,,,
PortChannel Config Enhancements,,FtOpSoSwPominFn007,ConfigFail,pre-test configuration failed Invalid error code PortChannel Verification Failed : unknown message identifier 'PortChannel Verification Failed' @5430,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,switching/test_portchannel.py,"V3, V4",,,,,
warmboot,,ft_reboot_fdb_fast_reboot,ScriptError,Exception TypeError 'NoneType' object is not subscriptable in file /apis/system/basic.py at line 1389,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V1, V2",,,,,
warmboot,,ft_max_vlan_save_reload,ScriptError,Exception TypeError 'NoneType' object is not subscriptable in file /apis/system/basic.py at line 1389,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V1, V2",,,,,
warmboot,,FtOpSoSysFRFn005,ScriptError,Exception TypeError 'NoneType' object is not subscriptable in file /apis/system/basic.py at line 1389,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V1, V2",,,,,
