#,Module,Bucket,Functions,Tests,Pref,Topology,Nodes
1,system/test_lldp.py,2,12,16,1,D1D2:2 D1T1:1,gw2 gw3
2,system/test_ssh.py,2,3,6,1,D1D2:2,gw2 gw3
3,switching/test_portchannel.py,2,2,3,1,D1D2:5 D1T1:1 D2T1:1 TGEN=ixia,gw2 gw3
4,switching/test_vlan.py,2,4,7,1,D1D2:4 D1T1:2 D2T1:2 CHIP=TH2|TH1|TD3|TD2|TD4 TGEN=ixia,gw2 gw3
5,system/test_interface.py,2,1,1,1,D1D2:2 D1T1:2 TGEN=ixia,gw2 gw3
6,system/test_snmp.py,1,40,42,1,D1T1:2 TGEN=ixia,gw4 gw5 gw6 gw7
7,security/test_tacacs.py,1,1,6,1,D1,gw4 gw5 gw6 gw7
8,system/test_snapshot.py,1,1,2,1,D1T1:4 TGEN=ixia CHIP=TH1|TH2|TH3|TD3 CHIP_REV=NA|X5|X7 MODEL1=ent,gw4 gw5 gw6 gw7
9,system/test_ntp.py,1,2,3,1,D1,gw4 gw5 gw6 gw7
,,,66,86,,,
