#,Node,Module,Function,Result,Test Time,Helper Time,CMD Time,TG Time,Wait,TGWait,PROMPT NFOUND,TECH SUPPORT,Description
1,gw4,qos/test_qos_save_reboot.py,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,,0:02:54,0:00:00.000,0:00:34.975,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
2,gw4,qos/test_qos_save_reboot.py,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,Pass,0:03:19,0:00:00.000,0:01:14.764,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
3,gw5,routing/test_l3_performance.py,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,,0:00:49,0:00:00.000,0:00:16.431,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
4,gw5,routing/test_l3_performance.py,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,Fail,0:02:01,0:00:00.000,0:00:05.605,0:00:00.000,0:00:00,0:00:00,0,0,Route table is not updated after advertising of routes on TG
5,gw5,routing/test_l3_performance.py,test_cli_validation_ip_address,Pass,0:01:14,0:00:10.425,0:00:38.422,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
6,gw5,routing/test_l3_performance.py,test_cli_validation_bgp_router_config,Pass,0:00:23,0:00:00.000,0:00:06.676,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
7,gw5,routing/test_ndp.py,test_ft_ipv6_neighbor_entry,,0:02:53,0:01:07.506,0:00:12.454,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
8,gw5,routing/test_ndp.py,test_ft_ipv6_neighbor_entry,Pass,0:00:16,0:00:00.000,0:00:07.822,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
9,gw7,routing/NAT/test_nat.py,test_ft_nat_docker_restart,,0:01:08,0:00:00.000,0:00:23.669,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
10,gw7,routing/NAT/test_nat.py,test_ft_nat_docker_restart,Pass,0:00:53,0:00:00.000,0:00:16.152,0:00:00.000,0:00:20,0:00:00,0,0,Test case passed
11,gw7,system/test_device_mgmt.py,test_ft_ip_static_ip_on_mgmt_intrf,,0:00:55,0:00:18.246,0:00:09.454,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
12,gw7,system/test_device_mgmt.py,test_ft_ip_static_ip_on_mgmt_intrf,Pass,0:00:23,0:00:00.000,0:00:07.218,0:00:00.000,0:00:05,0:00:00,0,0,Test case passed
13,gw7,routing/test_arp.py,test_ft_arp_dynamic_renew_traffic_test,,0:01:16,0:00:18.250,0:00:12.783,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
14,gw7,routing/test_arp.py,test_ft_arp_dynamic_renew_traffic_test,Pass,0:01:00,0:00:00.000,0:00:01.840,0:00:00.000,0:00:15,0:00:10,0,0,Test case passed
15,gw2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v6_link_local_bgp,,0:03:49,0:00:00.000,0:01:04.656,0:00:00.000,0:00:30,0:00:00,0,0,Module Configuration
16,gw2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v6_link_local_bgp,Fail,0:04:45,0:00:00.000,0:00:49.602,0:00:00.000,0:00:00,0:00:00,0,0,The operation is failed.
17,gw2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_clear,Pass,0:00:14,0:00:00.000,0:00:03.775,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
18,gw2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_peer_traffic_check,Pass,0:03:32,0:00:00.000,0:00:12.235,0:00:00.000,0:01:00,0:00:40,0,0,Test case passed
19,gw2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_graceful_restart_and_aware_routers,Pass,0:00:13,0:00:00.000,0:00:03.574,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
20,gw2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,Pass,0:01:43,0:00:00.000,0:00:05.753,0:00:00.000,0:00:05,0:00:00,0,0,Test case passed
21,gw2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set,Fail,0:01:43,0:00:00.000,0:00:16.516,0:00:00.000,0:00:00,0:00:00,0,0,Test case Failed.
22,gw2,routing/BGP/test_bgp.py,TestBGPRif::test_bgp_route_aggregation_4byteASN,Pass,0:01:20,0:00:00.000,0:00:05.760,0:00:00.000,0:00:10,0:00:00,0,0,Test case passed
23,gw2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv6_route_aggregation_with_as_set,Pass,0:01:03,0:00:00.000,0:00:05.760,0:00:00.000,0:00:10,0:00:00,0,0,Test case passed
24,gw2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v4_dyn_nbr,Pass,0:00:34,0:00:00.000,0:00:15.761,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
25,gw2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v6_dyn_nbr,Pass,0:00:32,0:00:00.000,0:00:15.726,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
26,gw2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v4_max_dyn_nbr,Fail,0:04:49,0:00:00.000,0:01:41.851,0:00:00.000,0:00:00,0:00:00,0,0,Test case Failed Failed to form BGP peering using max dynamic ipv4 neighbors
27,gw2,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_rmap,Pass,0:00:20,0:00:00.000,0:00:07.585,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
28,gw2,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_redistribute_connected_ipv4,Pass,0:00:21,0:00:00.000,0:00:08.277,0:00:00.000,0:00:00,0:00:00,0,0,The operation is successful
29,gw2,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_redistribute_static_ipv4,Pass,0:00:21,0:00:00.000,0:00:08.549,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
30,gw2,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_distribute_list_in_ipv4,Pass,0:00:15,0:00:00.000,0:00:05.295,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
31,gw2,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_filter_list_in_ipv4,Pass,0:00:16,0:00:00.000,0:00:05.293,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
32,gw2,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_prefix_list_out_ipv4,Pass,0:00:28,0:00:00.000,0:00:14.050,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
33,gw2,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_default_originate_ipv4,Pass,0:00:18,0:00:00.000,0:00:07.323,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
34,gw2,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_route_map_in_ipv4,Unsupported,0:00:13,0:00:00.000,0:00:02.745,0:00:00.000,0:00:00,0:00:00,0,0,UI 'klish' unsupported router bgp 65001
