#Release,Feature,TestCaseID,FunctionName
Arlo+,L3 Performance enhancements,FtOpSoRtPerfFn025,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw
Arlo+,L3 Performance enhancements,FtOpSoRtPerfFn026,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw
Arlo+,L3 Scale and Performance,FtRtPerfFn023,test_vrf_scale
Arlo+,L3 Scale and Performance,FtRtPerfFn024,test_vrf_scale
Arlo+,NAT,ft_dynamic_napt_docker_restart,test_ft_nat_docker_restart
Arlo+,NAT,ft_static_napt_docker_restart,test_ft_nat_docker_restart
Arlo+,NAT,ft_static_nat_docker_restart,test_ft_nat_docker_restart
Arlo+,Regression,FtFpSoQoSCoSCfg001,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,Regression,FtOpSoQosAclCmFn001,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,Regression,FtOpSoQosAclCmFn002,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,Regression,FtOpSoQosEcnCfg001,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,Regression,FtOpSoQosWredCfg001,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,Regression,FtOpSoRtIpv4Fn003,test_l3_v4_route_po_1
Arlo+,Regression,FtOpSoRtPerfFn052,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw
Arlo+,Regression,FtOpSoRtPerfFn053,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw
Arlo+,Regression,FtOpSoRtPerfFn054,test_cli_validation_ip_address
Arlo+,Regression,FtOpSoRtPerfFn055,test_cli_validation_ip_address
Arlo+,Regression,FtOpSoRtPerfFn056,test_cli_validation_bgp_router_config
Arlo+,Regression,FtOpSoRtPerfFn057,test_cli_validation_bgp_router_config
Arlo+,Regression,FtOtSoRtBgp4Fn001,TestBGPRif.test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match
Arlo+,Regression,FtOtSoRtBgp4Fn002,TestBGPRif.test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set
Arlo+,Regression,FtOtSoRtBgp4Fn014,TestBGPIPvxRouteAdvertisementFilter.test_bgp_ebgp4_nbr_update_source
Arlo+,Regression,FtOtSoRtBgp4Fn015,TestBGPIPvxRouteAdvertisementFilter.test_bgp_ebgp4_nbr_authentication
Arlo+,Regression,FtOtSoRtBgp4Fn016,TestBGPIPvxRouteAdvertisementFilter.test_bgp_route_map_with_community
Arlo+,Regression,FtOtSoRtBgp4Fn018,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv4
Arlo+,Regression,FtOtSoRtBgp4Fn019,TestBGPRif.test_ft_bgp_v4_max_dyn_nbr
Arlo+,Regression,FtOtSoRtBgp4Fn025,TestBGPRif.test_ft_bgp_peer_traffic_check
Arlo+,Regression,FtOtSoRtBgp4Fn027,TestBGPIPvxRouteAdvertisementFilter.test_route_map_in_ipv4
Arlo+,Regression,FtOtSoRtBgp4Fn032,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv4
Arlo+,Regression,FtOtSoRtBgp4Fn033,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_static_ipv4
Arlo+,Regression,FtOtSoRtBgp4Fn034,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_connected_ipv4
Arlo+,Regression,FtOtSoRtBgp4Fn036,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv4
Arlo+,Regression,FtOtSoRtBgp4Fn039,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv4
Arlo+,Regression,FtOtSoRtBgp4Fn049,TestBGPRif.test_ft_bgp_peer_traffic_check
Arlo+,Regression,FtOtSoRtBgp4Fn060,TestBGPRif.test_ft_bgp_v4_dyn_nbr
Arlo+,Regression,FtOtSoRtBgp4Fn061,TestBGPRif.test_bgp_route_aggregation_4byteASN
Arlo+,Regression,FtOtSoRtBgp4Fn063,TestBGPRif.test_ft_bgp_graceful_restart_and_aware_routers
Arlo+,Regression,FtOtSoRtBgp4Fn069,TestBGPVeLag.test_ft_bgp_peer_traffic_check
Arlo+,Regression,FtOtSoRtBgp4Fn070,TestBGPVeLag.test_ft_bgp_peer_traffic_check
Arlo+,Regression,FtOtSoRtBgp4Fn077,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv4
Arlo+,Regression,FtOtSoRtBgp4Fn078,TestBGPRif.test_ft_bgp_rmap
Arlo+,Regression,FtOtSoRtBgpPlFn001,TestBGPRif.test_ft_bgp_ipv6_route_aggregation_with_as_set
Arlo+,Regression,FtOtSoRtBgpPlFn002,TestBGPIPvxRouteAdvertisementFilter.test_route_aggregate_ipv6
Arlo+,Regression,FtOtSoRtBgpPlFn004,TestBGPRif.test_ft_bgp_v6_dyn_nbr
Arlo+,Regression,FtOtSoRtBgpPlFn005,TestBGPIPvxRouteAdvertisementFilter.test_static_blackhole_rt_redistribute_with_routemap_ipv6
Arlo+,Regression,FtOtSoRtBgpPlFn006,TestBGPRif.test_ft_bgp_v6_link_local_bgp
Arlo+,Regression,FtOtSoRtBgpPlFn007,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv6
Arlo+,Regression,FtOtSoRtBgpPlFn012,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6
Arlo+,Regression,FtOtSoRtBgpPlFn014,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6
Arlo+,Regression,FtOtSoRtBgpPlFn016,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv6
Arlo+,Regression,FtOtSoRtBgpPlFn018,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_out_ipv6
Arlo+,Regression,FtOtSoRtBgpPlFn025,TestBGPRrTraffic.test_ft_bgp6_rr_traffic_check
Arlo+,Regression,FtOtSoRtBgpPlFn032,TestBGPVeLag.test_ft_bgp_peer_traffic_check
Arlo+,Regression,FtOtSoRtBgpPlFn038,TestBGPIPvxRouteAdvertisementFilter.test_route_map_in_ipv6
Arlo+,Regression,bgp_lag_clear,TestBGPVeLag.test_ft_bgp_clear
Arlo+,Regression,bgpl3lag_traffic,TestBGPL3Lag.test_ft_bgp_l3lag_peer_traffic_check
Arlo+,Regression,ft_acl_configvalues_save_reload,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,Regression,ft_arp_dynamic_renew_traffic_test,test_ft_arp_dynamic_renew_traffic_test
Arlo+,Regression,ft_bgp_confedv6_config_adv,TestBGPConfed.test_ipv6_confed_route_distribution
Arlo+,Regression,ft_bgp_confedv6_route_maps_filter,TestBGPConfed.test_confed_route_distribution_with_rmap
Arlo+,Regression,ft_bgp_confedv6_route_reflector,TestBGPConfed.test_ipv6_confed_with_rr
Arlo+,Regression,ft_bgp_outbound_routefilter,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv4
Arlo+,Regression,ft_bgp_sonic_show_summary_neigh,TestBGPRif.test_ft_bgp_clear
Arlo+,Regression,ft_bgp_update_delay_timer,TestBGPRif.test_ft_bgp_peer_traffic_check
Arlo+,Regression,ft_bgp_v4peer_asn4,TestBGPRif.test_ft_bgp_clear
Arlo+,Regression,ft_bgp_v4peer_auth_simple,TestBGPRif.test_ft_bgp_clear
Arlo+,Regression,ft_bgp_v4peer_sonic_clear,TestBGPRif.test_ft_bgp_clear
Arlo+,Regression,ft_bgp_v4peer_vtysh_clear,TestBGPRif.test_ft_bgp_clear
Arlo+,Regression,ft_bgp_v6_as_path_acl,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6
Arlo+,Regression,ft_bgp_v6peer_auth_simple,TestBGPRif.test_ft_bgp_clear
Arlo+,Regression,ft_bgp_v6peer_route_redist_static_conn,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_connected_ipv6
Arlo+,Regression,ft_bgp_v6peer_sonic_clear,TestBGPRif.test_ft_bgp_clear
Arlo+,Regression,ft_bgp_v6peer_vtysh_clear,TestBGPRif.test_ft_bgp_clear
Arlo+,Regression,ft_ecn_config_db_to_running_config_after_save_and_reload,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
