#,Module,Function,DUT,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
0,routing/VRF/test_vrf_scale.py,test_vrf_scale,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,routing/VRF/test_vrf_scale.py,test_vrf_scale,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/VRF/test_vrf_scale.py,test_vrf_bgp,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,routing/VRF/test_vrf_scale.py,test_vrf_bgp,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/VRF/test_vrf_scale.py,test_vrf_reload,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,routing/VRF/test_vrf_scale.py,test_vrf_reload,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,routing/VRF/test_vrf_scale.py,--Module--,V1,NE,NE,NE,NE,NE,NE
4,routing/VRF/test_vrf_scale.py,--Module--,V2,NE,NE,NE,NE,NE,NE
