#Release,Feature,TestCaseID,FunctionName
Arlo+,Regression,FtOpSoSwLagFn041,test_ft_portchannel_with_vlan_variations
Arlo+,Regression,FtOpSoSwLagFn042,test_ft_portchannel_with_vlan_variations
Arlo+,Regression,FtOpSoSwlldpFn004,test_ft_lldp_non_default_config
Arlo+,Regression,FtOpSoSwlldpFn008,test_ft_lldp_non_default_config
Arlo+,Regression,FtOpSoSwlldpFn009,test_ft_lldp_non_default_config
Arlo+,Regression,FtOpSoSwlldpFn010,test_ft_lldp_non_default_config
Arlo+,Regression,FtOpSoSwlldpFn011,test_ft_lldp_non_default_config
Arlo+,Regression,FtOpSoSyInIpFn002,test_ft_port_fn_verify_shut_noshut
Arlo+,Regression,FtOpSoSySnFn008,test_ft_snmp_mib_2
Arlo+,Regression,FtOpSoSySnFn009,test_ft_snmp_if_mib_all
Arlo+,Regression,FtOpSoSySnFn010,test_ft_snmp_entity_mib_all
Arlo+,Regression,FtOpSoSySnFn012,test_ft_snmp_dot1q_dot1db_mib
Arlo+,Regression,FtOpSoSySnFn013,test_ft_snmp_dot1q_dot1db_mib
Arlo+,Regression,FtOpSoSySnFn015,test_ft_snmp_root_node_walk
Arlo+,Regression,FtOpSoSySnFn016,test_ft_snmp_ipAddressRowStatus_ipv6
Arlo+,Regression,FtOpSoSySnFn017,test_ft_snmp_ipAddressStorageType_ipv6
Arlo+,Regression,FtOpSoSySnFn020,test_ft_snmp_ipv6_If_Forward_default_HopLimit
Arlo+,Regression,FtOpSoSySnFn021,test_ft_snmp_ipv6scope_index_table
Arlo+,Regression,auth_shared_keys ,test_ft_tacacs_ssh_login_with_tacacs_operations
Arlo+,Regression,executing_server_key_in_appropriate_mode,test_ft_tacacs_ssh_login_with_tacacs_operations
Arlo+,Regression,ft_add_unknownvlan_interface,test_ft_add_unknownvlan_interface
Arlo+,Regression,ft_lldp_ConfigManAddrEntry,test_ft_lldp_ConfigManAddrEntry
Arlo+,Regression,ft_lldp_LocManAddrEntry,test_ft_lldp_LocManAddrEntry
Arlo+,Regression,ft_lldp_LocManAddrLen,test_ft_lldp_LocManAddrLen
Arlo+,Regression,ft_lldp_LocManAddrlfld,test_ft_lldp_LocManAddrlfld
Arlo+,Regression,ft_lldp_lldplocportid,test_ft_lldp_lldplocportid
Arlo+,Regression,ft_lldp_lldplocsysdesc,test_ft_lldp_lldplocsysdesc
Arlo+,Regression,ft_lldp_lldplocsysname,test_ft_lldp_lldplocsysname
Arlo+,Regression,ft_ntp_disable_ntp_enable_ntp,test_ft_ntp_disable_enable_with_message_log
Arlo+,Regression,ft_ntp_message_log_display_with_correct_time,test_ft_ntp_disable_enable_with_message_log
Arlo+,Regression,ft_show_vlan_brief,test_ft_vlan_trunk_tagged
Arlo+,Regression,ft_snmp_sysDescr,test_ft_snmp_sysDescr
Arlo+,Regression,ft_snmp_sysName,test_ft_snmp_sysName
Arlo+,Regression,ft_snmp_test_syUpTime,test_ft_snmp_test_syUpTime
Arlo+,Regression,ft_ssh_add_user_verify,test_ft_ssh_add_user_verify
Arlo+,Regression,ft_ssh_service_disable,test_ft_ssh_service_disable
Arlo+,Regression,ft_tacacs_default_login,test_ft_tacacs_ssh_login_with_tacacs_operations
Arlo+,Regression,ft_tacacs_single_server_for_auth,test_ft_tacacs_ssh_login_with_tacacs_operations
Arlo+,Regression,ft_tacacs_ssh_login,test_ft_tacacs_ssh_login_with_tacacs_operations
Arlo+,Regression,ft_tacacsauth_enable_pamfile_created,test_ft_tacacs_ssh_login_with_tacacs_operations
Arlo+,Regression,ft_vlan_delete_with_member,test_ft_vlan_delete_with_member
Arlo+,Regression,ft_vlan_trunk_tagged,test_ft_vlan_trunk_tagged
Buzznik,Instrumentation,ft_sf_wm_telemetry_interval,test_ft_watermark_telemetry_interval
Buzznik,SNMP MIB and Traps,SNMPQBr002,test_ft_snmp_dot1q_tp_fdb_address
