#,Node,Module,Function,DUT,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
1,gw4,routing/NAT/test_nat.py,test_ft_nat_docker_restart,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,gw4,routing/NAT/test_nat.py,--Module--,V1,NE,NE,NE,NE,NE,NE
3,gw4,routing/test_arp.py,test_ft_arp_dynamic_renew_traffic_test,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,gw4,routing/test_arp.py,--Module--,V1,NE,NE,NE,NE,NE,NE
5,gw5,routing/test_ndp.py,test_ft_ipv6_neighbor_entry,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
6,gw5,routing/test_ndp.py,--Module--,V4,NE,NE,NE,NE,NE,NE
7,gw5,system/test_device_mgmt.py,test_ft_ip_static_ip_on_mgmt_intrf,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
8,gw5,system/test_device_mgmt.py,--Module--,V4,NE,NE,NE,NE,NE,NE
9,gw7,routing/test_l3_performance.py,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
10,gw7,routing/test_l3_performance.py,test_cli_validation_ip_address,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
11,gw7,routing/test_l3_performance.py,test_cli_validation_bgp_router_config,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
12,gw7,routing/test_l3_performance.py,--Module--,V2,NE,NE,NE,NE,NE,NE
13,gw6,qos/test_qos_save_reboot.py,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
14,gw6,qos/test_qos_save_reboot.py,--Module--,V3,NE,NE,NE,NE,NE,NE
15,gw2,routing/VRF/test_vrf.py,test_VrfFun001_06,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
16,gw2,routing/VRF/test_vrf.py,test_VrfFun001_06,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
17,gw2,routing/VRF/test_vrf.py,test_VrfFun_26_27,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
18,gw2,routing/VRF/test_vrf.py,test_VrfFun_26_27,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
19,gw2,routing/VRF/test_vrf.py,test_VrfFun_10_12_14,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
20,gw2,routing/VRF/test_vrf.py,test_VrfFun_10_12_14,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
21,gw2,routing/VRF/test_vrf.py,test_VrfFun_20_24_25_32_33_44_45,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
22,gw2,routing/VRF/test_vrf.py,test_VrfFun_20_24_25_32_33_44_45,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
23,gw2,routing/VRF/test_vrf.py,test_VrfFun_05_50,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
24,gw2,routing/VRF/test_vrf.py,test_VrfFun_05_50,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
25,gw2,routing/VRF/test_vrf.py,--Module--,V3,NE,NE,NE,NE,NE,NE
26,gw2,routing/VRF/test_vrf.py,--Module--,V4,NE,NE,NE,NE,NE,NE
27,gw2,routing/VRF/test_vrf_scale.py,test_vrf_scale,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
28,gw2,routing/VRF/test_vrf_scale.py,test_vrf_scale,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
29,gw2,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
30,gw2,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
31,gw2,routing/VRF/test_vrf_scale.py,test_vrf_bgp,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
32,gw2,routing/VRF/test_vrf_scale.py,test_vrf_bgp,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
33,gw2,routing/VRF/test_vrf_scale.py,test_vrf_reload,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
34,gw2,routing/VRF/test_vrf_scale.py,test_vrf_reload,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
35,gw2,routing/VRF/test_vrf_scale.py,--Module--,V3,NE,NE,NE,NE,NE,NE
36,gw2,routing/VRF/test_vrf_scale.py,--Module--,V4,NE,NE,NE,NE,NE,NE
37,gw2,sanity/test_sanity_l3.py,test_l2_to_l3_port,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
38,gw2,sanity/test_sanity_l3.py,test_l2_to_l3_port,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
39,gw2,sanity/test_sanity_l3.py,--Module--,V3,NE,NE,NE,NE,NE,NE
40,gw2,sanity/test_sanity_l3.py,--Module--,V4,NE,NE,NE,NE,NE,NE
41,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_route_distribution,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
42,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_route_distribution,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
43,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_route_distribution,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
44,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_route_distribution,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
45,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_with_rr,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
46,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_with_rr,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
47,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_with_rr,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
48,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_with_rr,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
49,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_confed_route_distribution_with_rmap,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
50,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_confed_route_distribution_with_rmap,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
51,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_confed_route_distribution_with_rmap,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
52,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_confed_route_distribution_with_rmap,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
53,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ibgp_RR_Loop,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
54,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ibgp_RR_Loop,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
55,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ibgp_RR_Loop,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
56,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ibgp_RR_Loop,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
57,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ebgp_community_map,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
58,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ebgp_community_map,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
59,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ebgp_community_map,V3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
60,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ebgp_community_map,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
61,gw1,routing/BGP/test_bgp_4node.py,--Module--,V1,NE,NE,NE,NE,NE,NE
62,gw1,routing/BGP/test_bgp_4node.py,--Module--,V2,NE,NE,NE,NE,NE,NE
63,gw1,routing/BGP/test_bgp_4node.py,--Module--,V3,NE,NE,NE,NE,NE,NE
64,gw1,routing/BGP/test_bgp_4node.py,--Module--,V4,NE,NE,NE,NE,NE,NE
65,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v6_link_local_bgp,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
66,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v6_link_local_bgp,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
67,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_clear,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
68,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_clear,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
69,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_peer_traffic_check,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
70,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_peer_traffic_check,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
71,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_graceful_restart_and_aware_routers,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
72,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_graceful_restart_and_aware_routers,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
73,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
74,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
75,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
76,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
77,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_bgp_route_aggregation_4byteASN,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
78,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_bgp_route_aggregation_4byteASN,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
79,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv6_route_aggregation_with_as_set,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
80,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv6_route_aggregation_with_as_set,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
81,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v4_dyn_nbr,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
82,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v4_dyn_nbr,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
83,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v6_dyn_nbr,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
84,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v6_dyn_nbr,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
85,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v4_max_dyn_nbr,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
86,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v4_max_dyn_nbr,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
87,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_rmap,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
