#,Node,Module,TestFunction,Result,TimeTaken,ExecutedOn,Syslogs,FCLI,TSSH,DCNT,Description,Devices,KnownIssue,Doc
1,gw1,routing/BGP/test_bgp_4node.py,,,0:01:43,2023-12-25 22:39:22,0,1,0,4,Module Prolog,"V1, V2, V3, V4",,
2,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed.test_ipv6_confed_route_distribution,Fail,0:00:22,2023-12-25 22:39:38,0,1,0,4,Fail: Route advertised by DUT1 not found on DUT3,"V1, V2, V3, V4",,
3,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed.test_ipv6_confed_with_rr,Fail,0:00:48,2023-12-25 22:40:25,0,1,0,4,Fail: DUT4 did not learn the routes advertised by peer DUT2,"V1, V2, V3, V4",,
4,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed.test_confed_route_distribution_with_rmap,Pass,0:00:39,2023-12-25 22:41:04,0,1,0,4,Test case passed,"V1, V2, V3, V4",,
5,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ibgp_RR_Loop,ScriptError,0:00:38,2023-12-25 22:41:47,0,1,0,4,Exception IndexError list index out of range in file /tests/routing/BGP/test_bgp_4node.py at line 690,"V1, V2, V3, V4",,Verify the functioning of iBGP Route-Reflector cluster loop
6,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ebgp_community_map,Pass,0:04:19,2023-12-25 22:46:05,0,1,0,4,Test case passed,"V1, V2, V3, V4",,Verify the functioning of eBGP communities
7,gw1,routing/BGP/test_bgp_4node.py,,,0:00:34,2023-12-25 22:46:39,0,1,0,4,Module Epilog,"V1, V2, V3, V4",,
8,gw3,routing/BGP/test_bgp.py,,,0:03:53,2023-12-25 22:57:16,0,1,0,2,Module Prolog,"V1, V2",,
9,gw3,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_v6_link_local_bgp,Pass,0:00:23,2023-12-25 22:57:34,0,1,0,2,Test case passed,"V1, V2",,Verify that BGP peer session is established with v6 link local address
10,gw3,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_clear,Pass,0:00:16,2023-12-25 22:57:49,0,1,0,2,Test case passed,"V1, V2",,
11,gw3,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_peer_traffic_check,Pass,0:03:31,2023-12-25 23:01:20,0,1,0,2,Test case passed,"V1, V2",,
12,gw3,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_graceful_restart_and_aware_routers,Pass,0:00:13,2023-12-25 23:01:33,0,1,0,2,Test case passed,"V1, V2",,
13,gw2,routing/VRF/test_vrf.py,,,0:08:21,2023-12-25 23:01:43,0,1,0,2,Module Prolog,"V3, V4",,
14,gw2,routing/VRF/test_vrf.py,test_VrfFun001_06,Pass,0:00:26,2023-12-25 23:02:03,0,1,0,2,Test case passed,"V3, V4",,
15,gw2,routing/VRF/test_vrf.py,test_VrfFun_26_27,Pass,0:00:30,2023-12-25 23:02:32,0,1,0,2,Test case passed,"V3, V4",,
