#,Module,Function,DUT,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
0,switching/test_vlan.py,test_ft_add_unknownvlan_interface,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,switching/test_vlan.py,test_ft_add_unknownvlan_interface,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,switching/test_vlan.py,test_ft_vlan_delete_with_member,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,switching/test_vlan.py,test_ft_vlan_delete_with_member,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,switching/test_vlan.py,test_ft_vlan_trunk_tagged,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,switching/test_vlan.py,test_ft_vlan_trunk_tagged,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,switching/test_vlan.py,test_ft_vlan_save_config_warm_and_fast_reboot,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,switching/test_vlan.py,test_ft_vlan_save_config_warm_and_fast_reboot,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,switching/test_vlan.py,--Module--,V1,NE,NE,NE,NE,NE,NE
4,switching/test_vlan.py,--Module--,V2,NE,NE,NE,NE,NE,NE
0,system/test_ssh.py,test_ft_ssh_service_disable,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
0,system/test_ssh.py,test_ft_ssh_service_disable,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,system/test_ssh.py,test_ft_ssh_add_user_verify,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
1,system/test_ssh.py,test_ft_ssh_add_user_verify,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,system/test_ssh.py,test_ft_verify_logs_at_the_time_of_ssh_login_success,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,system/test_ssh.py,test_ft_verify_logs_at_the_time_of_ssh_login_success,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
3,system/test_ssh.py,--Module--,V1,NE,NE,NE,NE,NE,NE
3,system/test_ssh.py,--Module--,V2,NE,NE,NE,NE,NE,NE
