#,Node,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,gw2,Regression,ft_add_unknownvlan_interface,Pass,Mapped,2024-01-04 01:10:04,Test case passed,test_ft_add_unknownvlan_interface,switching/test_vlan.py,"V1, V2",
2,gw2,Regression,ft_vlan_delete_with_member,Pass,Mapped,2024-01-04 01:10:19,Test case passed,test_ft_vlan_delete_with_member,switching/test_vlan.py,"V1, V2",
3,gw3,Regression,FtOpSoSwLagFn042,Pass,Mapped,2024-01-04 01:11:33,Test case passed,test_ft_portchannel_with_vlan_variations,switching/test_portchannel.py,"V3, V4",
4,gw3,Regression,FtOpSoSwLagFn041,Pass,Mapped,2024-01-04 01:11:33,Test case passed,test_ft_portchannel_with_vlan_variations,switching/test_portchannel.py,"V3, V4",
5,gw2,Regression,ft_vlan_trunk_tagged,Pass,Mapped,2024-01-04 01:11:44,Test case passed,test_ft_vlan_trunk_tagged,switching/test_vlan.py,"V1, V2",
6,gw2,Regression,ft_show_vlan_brief,Pass,Mapped,2024-01-04 01:11:44,Test case passed,test_ft_vlan_trunk_tagged,switching/test_vlan.py,"V1, V2",
7,gw3,PortChannel Config Enhancements,FtOpSoSwPominFn007,Pass,Mapped,2024-01-04 01:11:57,Test case passed,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,switching/test_portchannel.py,"V3, V4",
8,gw3,Regression,ft_ssh_service_disable,Pass,Mapped,2024-01-04 01:18:32,Test case passed,test_ft_ssh_service_disable,system/test_ssh.py,"V3, V4",
9,gw2,warmboot,ft_reboot_fdb_fast_reboot,ScriptError,Mapped,2024-01-04 01:24:18,Exception TypeError 'NoneType' object is not subscriptable in file /apis/system/basic.py at line 1389,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V1, V2",
10,gw2,warmboot,ft_max_vlan_save_reload,ScriptError,Mapped,2024-01-04 01:24:18,Exception TypeError 'NoneType' object is not subscriptable in file /apis/system/basic.py at line 1389,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V1, V2",
11,gw2,warmboot,FtOpSoSysFRFn005,ScriptError,Mapped,2024-01-04 01:24:18,Exception TypeError 'NoneType' object is not subscriptable in file /apis/system/basic.py at line 1389,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,"V1, V2",
12,gw3,Regression,ft_ssh_add_user_verify,Fail,Mapped,2024-01-04 01:29:08,Test case Failed.,test_ft_ssh_add_user_verify,system/test_ssh.py,"V3, V4",
13,gw3,Control Plane ACL,test_ft_controlplane_acl_service_sshv4,Pass,SubTest,2024-01-04 01:29:08,SSH failed,test_ft_ssh_add_user_verify,system/test_ssh.py,"V3, V4",
14,gw3,Control Plane ACL,test_ft_controlplane_acl_service_sshv6,Pass,SubTest,2024-01-04 01:29:08,SSH failed,test_ft_ssh_add_user_verify,system/test_ssh.py,"V3, V4",
15,gw3,Control Plane ACL,test_ft_controlplane_acl_service_snmp,Fail,SubTest,2024-01-04 01:29:08,SNMP output is not found after walk of with control plane ACL service SNMP after reboot OID,test_ft_ssh_add_user_verify,system/test_ssh.py,"V3, V4",
16,gw3,Regression,CETA_SONIC_67575,Pass,Mapped,2024-01-04 01:29:31,Test case passed,test_ft_verify_logs_at_the_time_of_ssh_login_success,system/test_ssh.py,"V3, V4",
17,gw2,Regression,ft_lldp_LocManAddrLen,Fail,Mapped,2024-01-04 01:31:16,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_LocManAddrLen,system/test_lldp.py,"V1, V2",
18,gw2,Regression,ft_lldp_LocManAddrlfld,Fail,Mapped,2024-01-04 01:31:17,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_LocManAddrlfld,system/test_lldp.py,"V1, V2",
19,gw2,Regression,ft_lldp_LocManAddrEntry,Fail,Mapped,2024-01-04 01:31:17,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_LocManAddrEntry,system/test_lldp.py,"V1, V2",
20,gw2,Regression,ft_lldp_ConfigManAddrEntry,Fail,Mapped,2024-01-04 01:31:18,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_ConfigManAddrEntry,system/test_lldp.py,"V1, V2",
21,gw2,Regression,ft_lldp_lldplocportid,Fail,Mapped,2024-01-04 01:31:18,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_lldplocportid,system/test_lldp.py,"V1, V2",
22,gw2,Regression,ft_lldp_lldplocsysname,Fail,Mapped,2024-01-04 01:31:18,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_lldplocsysname,system/test_lldp.py,"V1, V2",
23,gw2,Regression,ft_lldp_lldplocsysdesc,Fail,Mapped,2024-01-04 01:31:19,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_lldplocsysdesc,system/test_lldp.py,"V1, V2",
24,gw2,SNMP Agent Optimization,ft_snmp_lldp_prem_manaddr_table,Fail,Mapped,2024-01-04 01:31:19,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_rem_man_addr_table,system/test_lldp.py,"V1, V2",
25,gw2,Regression,FtOpSoSwlldpFn011,Fail,Mapped,2024-01-04 01:31:20,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
26,gw2,Regression,FtOpSoSwlldpFn010,Fail,Mapped,2024-01-04 01:31:20,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
27,gw2,Regression,FtOpSoSwlldpFn009,Fail,Mapped,2024-01-04 01:31:20,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
28,gw2,Regression,FtOpSoSwlldpFn008,Fail,Mapped,2024-01-04 01:31:20,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
