#,Node,Module,Function,Result,Test Time,Helper Time,CMD Time,TG Time,Wait,TGWait,PROMPT NFOUND,TECH SUPPORT,Description
1,gw4,routing/test_l3_performance.py,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,,0:00:50,0:00:00.000,0:00:17.797,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
2,gw4,routing/test_l3_performance.py,test_ft_l3_performance_enhancements_v4_route_intstall_withdraw,Fail,0:02:02,0:00:00.000,0:00:06.726,0:00:00.000,0:00:00,0:00:00,0,0,Route table is not updated after advertising of routes on TG
3,gw4,routing/test_l3_performance.py,test_cli_validation_ip_address,Pass,0:01:26,0:00:15.232,0:00:45.812,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
4,gw4,routing/test_l3_performance.py,test_cli_validation_bgp_router_config,Pass,0:00:23,0:00:00.000,0:00:06.745,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
5,gw4,routing/test_ndp.py,test_ft_ipv6_neighbor_entry,,0:04:05,0:01:55.575,0:00:18.479,0:00:00.000,0:00:15,0:00:00,0,0,Module Configuration
6,gw4,routing/test_ndp.py,test_ft_ipv6_neighbor_entry,Pass,0:00:18,0:00:00.000,0:00:09.378,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
7,gw4,routing/test_arp.py,test_ft_arp_dynamic_renew_traffic_test,,0:03:13,0:01:53.182,0:00:18.633,0:00:00.000,0:00:15,0:00:00,0,0,Module Configuration
8,gw4,routing/test_arp.py,test_ft_arp_dynamic_renew_traffic_test,Pass,0:01:00,0:00:00.000,0:00:01.994,0:00:00.000,0:00:15,0:00:10,0,0,Test case passed
9,gw7,routing/NAT/test_nat.py,test_ft_nat_docker_restart,,0:01:08,0:00:00.000,0:00:25.243,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
10,gw7,routing/NAT/test_nat.py,test_ft_nat_docker_restart,Pass,0:00:47,0:00:00.000,0:00:09.643,0:00:00.000,0:00:20,0:00:00,0,0,Test case passed
11,gw7,qos/test_qos_save_reboot.py,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,,0:05:22,0:01:53.176,0:00:54.417,0:00:00.000,0:00:10,0:00:00,0,0,Module Configuration
12,gw7,qos/test_qos_save_reboot.py,test_ft_qos_config_mgmt_verifying_config_with_save_reboot,Pass,0:07:47,0:00:00.000,0:00:47.153,0:00:00.000,0:05:00,0:00:00,0,0,Test case passed
13,gw6,system/test_device_mgmt.py,test_ft_ip_static_ip_on_mgmt_intrf,,0:00:29,0:00:00.000,0:00:06.244,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
14,gw6,system/test_device_mgmt.py,test_ft_ip_static_ip_on_mgmt_intrf,Pass,0:00:22,0:00:00.000,0:00:07.157,0:00:00.000,0:00:05,0:00:00,0,0,Test case passed
15,gw2,routing/VRF/test_vrf.py,test_VrfFun001_06,,0:08:23,0:00:00.000,0:03:11.837,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
16,gw2,routing/VRF/test_vrf.py,test_VrfFun001_06,Pass,0:00:27,0:00:00.000,0:00:13.317,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
17,gw2,routing/VRF/test_vrf.py,test_VrfFun_26_27,Pass,0:00:30,0:00:00.000,0:00:10.873,0:00:00.000,0:00:05,0:00:00,0,0,Test case passed
18,gw2,routing/VRF/test_vrf.py,test_VrfFun_10_12_14,Pass,0:01:52,0:00:00.000,0:01:36.382,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
19,gw2,routing/VRF/test_vrf.py,test_VrfFun_20_24_25_32_33_44_45,Pass,0:00:45,0:00:00.000,0:00:42.116,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
20,gw2,routing/VRF/test_vrf.py,test_VrfFun_05_50,Pass,0:03:24,0:00:00.000,0:02:14.406,0:00:00.000,0:00:45,0:00:00,0,0,Test case passed
21,gw2,routing/VRF/test_vrf_scale.py,test_vrf_scale,,0:30:19,0:53:16.544,0:01:34.333,0:00:00.000,0:00:45,0:00:00,0,0,Module Configuration
22,gw2,routing/VRF/test_vrf_scale.py,test_vrf_scale,Pass,0:04:30,0:00:00.000,0:04:15.751,0:00:00.000,0:00:05,0:00:00,0,0,Test case passed
23,gw2,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,Pass,0:02:07,0:00:00.000,0:00:45.888,0:00:00.000,0:01:00,0:00:10,0,0,Test case passed
24,gw2,routing/VRF/test_vrf_scale.py,test_vrf_bgp,Pass,0:09:43,0:00:00.000,0:13:12.433,0:00:00.000,0:00:10,0:00:00,0,0,Test case passed
25,gw2,routing/VRF/test_vrf_scale.py,test_vrf_reload,Pass,0:04:50,0:00:00.000,0:04:24.108,0:00:00.000,0:00:05,0:00:00,0,0,Test case passed
26,gw2,routing/BGP/test_bgp_rr_traffic.py,TestBGPRrTraffic::test_ft_bgp6_rr_traffic_check,,0:05:40,0:02:37.862,0:01:22.831,0:00:00.000,0:00:50,0:00:00,0,0,Module Configuration
27,gw2,routing/BGP/test_bgp_rr_traffic.py,TestBGPRrTraffic::test_ft_bgp6_rr_traffic_check,Pass,0:02:36,0:00:00.000,0:00:10.209,0:00:00.000,0:00:25,0:01:10,0,0,Test case passed
28,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_route_distribution,,0:01:44,0:00:00.000,0:01:18.810,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
29,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_route_distribution,Fail,0:00:23,0:00:00.000,0:00:09.752,0:00:00.000,0:00:00,0:00:00,0,0,Fail: Route advertised by DUT1 not found on DUT3
30,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_ipv6_confed_with_rr,Fail,0:00:48,0:00:00.000,0:00:18.970,0:00:00.000,0:00:10,0:00:00,0,0,Fail: DUT4 did not learn the routes advertised by peer DUT2
31,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed::test_confed_route_distribution_with_rmap,Pass,0:00:40,0:00:00.000,0:00:16.497,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
32,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ibgp_RR_Loop,ScriptError,0:00:38,0:00:00.000,0:00:36.879,0:00:00.000,0:00:05,0:00:00,0,0,Exception IndexError list index out of range in file /tests/routing/BGP/test_bgp_4node.py at line 690
33,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ebgp_community_map,Pass,0:04:19,0:00:00.000,0:00:55.119,0:00:00.000,0:03:00,0:00:00,0,0,Test case passed
34,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v6_link_local_bgp,,0:03:54,0:00:00.000,0:01:11.873,0:00:00.000,0:00:30,0:00:00,0,0,Module Configuration
35,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v6_link_local_bgp,Pass,0:00:23,0:00:00.000,0:00:09.780,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
36,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_clear,Pass,0:00:16,0:00:00.000,0:00:04.047,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
37,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_peer_traffic_check,Pass,0:03:31,0:00:00.000,0:00:11.136,0:00:00.000,0:01:00,0:00:40,0,0,Test case passed
38,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_graceful_restart_and_aware_routers,Pass,0:00:14,0:00:00.000,0:00:03.525,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
39,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,Fail,0:01:17,0:00:00.000,0:00:05.757,0:00:00.000,0:00:05,0:00:00,0,0,bgp route 122.1.1.0/24 info not found
40,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set,Fail,0:01:42,0:00:00.000,0:00:15.546,0:00:00.000,0:00:00,0:00:00,0,0,Test case Failed.
41,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_bgp_route_aggregation_4byteASN,Fail,0:00:41,0:00:00.000,0:00:06.388,0:00:00.000,0:00:00,0:00:00,0,0,Test case Failed Neighbour is failed to Establish between Leaf - TG
42,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_ipv6_route_aggregation_with_as_set,Fail,0:00:55,0:00:00.000,0:00:05.752,0:00:00.000,0:00:10,0:00:00,0,0,bgp route 6002:1::0/64 info not found
43,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v4_dyn_nbr,Pass,0:00:35,0:00:00.000,0:00:16.271,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
44,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v6_dyn_nbr,Pass,0:00:33,0:00:00.000,0:00:16.513,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
45,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_v4_max_dyn_nbr,Pass,0:02:22,0:00:00.000,0:01:18.912,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
46,gw3,routing/BGP/test_bgp.py,TestBGPRif::test_ft_bgp_rmap,Pass,0:00:20,0:00:00.000,0:00:07.577,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
47,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_redistribute_connected_ipv4,Fail,0:00:20,0:00:00.000,0:00:08.365,0:00:00.000,0:00:00,0:00:00,0,0,The operation is failed.
48,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_redistribute_static_ipv4,Fail,0:00:22,0:00:00.000,0:00:08.584,0:00:00.000,0:00:00,0:00:00,0,0,static on dut1 is not a subset of dut1 learned route on dut2
49,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_distribute_list_in_ipv4,Pass,0:00:16,0:00:00.000,0:00:05.353,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
50,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_filter_list_in_ipv4,Pass,0:00:16,0:00:00.000,0:00:05.288,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
51,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_prefix_list_out_ipv4,Pass,0:00:29,0:00:00.000,0:00:14.795,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
52,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_default_originate_ipv4,Fail,0:00:17,0:00:00.000,0:00:05.757,0:00:00.000,0:00:00,0:00:00,0,0,default route not advertised
53,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_route_map_in_ipv4,Unsupported,0:00:13,0:00:00.000,0:00:02.744,0:00:00.000,0:00:00,0:00:00,0,0,UI 'klish' unsupported router bgp 65001
54,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_redistribute_connected_ipv6,Fail,0:00:20,0:00:00.000,0:00:08.320,0:00:00.000,0:00:00,0:00:00,0,0,The operation is failed.
