#,Module,Function,TestCase,Node,Status
1,system/test_snmp.py,test_ft_snmp_sysName,ft_snmp_sysName,gw4,Completed
2,system/test_snmp.py,test_ft_snmp_test_syUpTime,ft_snmp_test_syUpTime,gw4,Completed
3,system/test_snmp.py,test_ft_snmp_sysDescr,ft_snmp_sysDescr,gw4,Completed
4,system/test_snmp.py,test_ft_snmp_mib_2,FtOpSoSySnFn008,gw4,Completed
5,system/test_snmp.py,test_ft_snmp_if_mib_all,FtOpSoSySnFn009,gw4,Completed
6,system/test_snmp.py,test_ft_snmp_entity_mib_all,FtOpSoSySnFn010,gw4,Completed
7,system/test_snmp.py,test_ft_snmp_dot1q_dot1db_mib,FtOpSoSySnFn012,gw4,Completed
8,system/test_snmp.py,test_ft_snmp_dot1q_dot1db_mib,FtOpSoSySnFn013,gw4,Completed
9,system/test_snmp.py,test_ft_snmp_root_node_walk,FtOpSoSySnFn015,gw4,Completed
10,system/test_snmp.py,test_ft_snmp_ipAddressRowStatus_ipv6,FtOpSoSySnFn016,gw4,Completed
11,system/test_snmp.py,test_ft_snmp_ipAddressStorageType_ipv6,FtOpSoSySnFn017,gw4,Completed
12,system/test_snmp.py,test_ft_snmp_ipv6_If_Forward_default_HopLimit,FtOpSoSySnFn020,gw4,Completed
13,system/test_snmp.py,test_ft_snmp_ipv6scope_index_table,FtOpSoSySnFn021,gw4,Completed
14,system/test_snmp.py,test_ft_snmp_ip_forward_table,test_snmp_ip_forward_table,gw4,Completed
15,system/test_snmp.py,test_ft_snmp_ifx_table,ft_snmp_ifXTable,gw4,Completed
16,system/test_snmp.py,test_ft_snmp_ip_System_Stats_Table,ft_snmp_ip_System_Stats_Table,gw4,Completed
17,system/test_snmp.py,test_ft_snmp_ip_IfStats_Table,ft_snmp_ip_IfStats_Table,gw4,Completed
18,system/test_snmp.py,test_ft_snmp_ip_Address_Table,ft_snmp_ip_Address_Table,gw4,Completed
19,system/test_snmp.py,test_ft_snmp_ip_NetToPhysical_Table,ft_snmp_ip_NetToPhysical_Table,gw4,Completed
20,system/test_snmp.py,test_ft_snmp_icmp_Msgs,ft_snmp_icmp_Msgs,gw4,Completed
21,system/test_snmp.py,test_ft_snmp_tcp_mib,ft_snmp_tcp_mib,gw4,Completed
22,system/test_snmp.py,test_ft_snmp_udp_mib,ft_snmp_udp_mib,gw4,Completed
23,system/test_snmp.py,test_ft_snmp_snmpv2_mib,ft_snmp_snmpv2_mib,gw4,Completed
24,system/test_snmp.py,test_ft_snmp_host_resource_mib,ft_snmp_host_resource_mib,gw4,Completed
25,system/test_snmp.py,test_ft_snmp_framework_mib,ft_snmp_framework_mib,gw4,Completed
26,system/test_snmp.py,test_ft_snmp_mpd_mib,ft_snmp_mpd_mib,gw4,Completed
27,system/test_snmp.py,test_ft_snmp_target_mib,ft_snmp_target_mib,gw4,Completed
28,system/test_snmp.py,test_ft_snmp_notification_mib,ft_snmp_notification_mib,gw4,Completed
29,system/test_snmp.py,test_ft_snmp_user_based_sm_mib,ft_snmp_user_based_sm_mib,gw4,Completed
30,system/test_snmp.py,test_ft_snmp_view_based_acm_mib,ft_snmp_view_based_acm_mib,gw4,Completed
31,system/test_snmp.py,test_ft_snmp_ent_physical_table,ft_snmp_ent_physical_table,gw4,Completed
32,system/test_snmp.py,test_ft_snmp_dot3_stats_table,ft_snmp_dot3_stats_table,gw4,Completed
33,system/test_snmp.py,test_ft_net_snmp_agent_mib,ft_net_snmp_agent_mib,gw4,Completed
34,system/test_snmp.py,test_ft_net_snmp_vacm_mib,ft_net_snmp_vacm_mib,gw4,Completed
35,system/test_snmp.py,test_ft_snmp_ucd_diskio_mib,ft_snmp_ucd_diskio_mib,gw4,Completed
36,system/test_snmp.py,test_ft_snmp_ucd_la_table,ft_snmp_ucd_la_table,gw4,Completed
37,system/test_snmp.py,test_ft_snmp_ucd_system_stats,ft_snmp_ucd_system_stats,gw4,Completed
38,system/test_snmp.py,test_ft_snmp_dot1q_tp_fdb_port,SNMPQBr003,gw4,Completed
39,system/test_snmp.py,test_ft_snmp_dot1q_tp_fdb_address,SNMPQBr002,gw4,Completed
40,system/test_snmp.py,test_ft_snmp_coldstart_trap,SNMPTrap004,gw4,Completed
41,system/test_snmp.py,test_ft_snmp_coldstart_trap,FtOpSoSysImLogFn012,gw4,Completed
42,system/test_snmp.py,test_ft_snmp_docker_restart,FtOpSoSySnFn023,gw4,Completed
43,system/test_ntp.py,test_ft_ntp_disable_enable_with_message_log,ft_ntp_disable_ntp_enable_ntp,gw5,Completed
44,system/test_ntp.py,test_ft_ntp_disable_enable_with_message_log,ft_ntp_message_log_display_with_correct_time,gw5,Completed
45,system/test_ntp.py,test_ntp_exists_config,ft_ntp_existsconfig,gw5,Completed
46,system/test_snapshot.py,test_ft_watermark_telemetry_interval,ft_sf_wm_telemetry_interval,gw5,Completed
47,system/test_snapshot.py,test_ft_watermark_telemetry_interval,ft_sf_snapshot_tam_Error_Logs,gw5,Completed
48,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,auth_shared_keys ,gw6,Completed
49,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,executing_server_key_in_appropriate_mode,gw6,Completed
50,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,ft_tacacs_default_login,gw6,Completed
51,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,ft_tacacs_single_server_for_auth,gw6,Completed
52,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,ft_tacacs_ssh_login,gw6,Completed
53,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,ft_tacacsauth_enable_pamfile_created,gw6,Completed
54,switching/test_portchannel.py,test_ft_portchannel_with_vlan_variations,FtOpSoSwLagFn041,gw2,Completed
55,switching/test_portchannel.py,test_ft_portchannel_with_vlan_variations,FtOpSoSwLagFn042,gw2,Completed
56,switching/test_portchannel.py,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,FtOpSoSwPominFn007,gw2,Completed
