#,Module,TestFunction,Result,TimeTaken,ExecutedOn,Syslogs,FCLI,TSSH,DCNT,Description,Devices,KnownIssue,Doc
1,routing/VRF/test_vrf_scale.py,,,0:27:43,2024-01-07 23:22:21,0,1,0,2,Module Prolog,"V3, V4",,
2,routing/VRF/test_vrf_scale.py,test_vrf_scale,Pass,0:04:32,2024-01-07 23:26:46,0,1,0,2,Test case passed,"V3, V4",,
3,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,Pass,0:02:09,2024-01-07 23:28:55,0,1,0,2,Test case passed,"V3, V4",,
4,routing/VRF/test_vrf_scale.py,test_vrf_bgp,Pass,0:09:44,2024-01-07 23:38:38,0,1,0,2,Test case passed,"V3, V4",,
5,routing/VRF/test_vrf_scale.py,test_vrf_reload,Pass,0:04:54,2024-01-07 23:43:31,0,1,0,2,Test case passed,"V3, V4",,
6,routing/VRF/test_vrf_scale.py,,,0:00:37,2024-01-07 23:44:08,0,1,0,2,Module Epilog,"V3, V4",,
7,system/test_sflow.py,,,0:03:30,2024-01-08 00:05:31,0,1,0,2,Module Prolog,"V3, V4",,
8,system/test_sflow.py,test_ft_sflow_sampling_v6_sFlow_collector,Fail,0:02:28,2024-01-08 00:07:52,0,1,0,2,Test case Failed.,"V3, V4",,Name: Sreenivasula Reddy Vennapusa Email:  sreenivasula.reddy@broadcom.com Objective - FtOpSfFn004 : Verify sFlow sampling functionality through Front end port on physical interfaces using IPV6 connectivity to sFlow collector. Test bed details: TG1(192.168.1.1)---(192.168.1.2)Partner(192.168.2.1/24)---(192.168.2.2/24)DUT(192.168.3.1)---(192.168.3.3/24)TG2 |(192.168.4.1/24) |(2001::1/64) | |(2001::2 |(192.168.4.4/24) TG3(sFlow collector)
9,system/test_sflow.py,test_ft_sflow_max_sflow_collector_config,Pass,0:00:35,2024-01-08 00:08:27,0,1,0,2,Successfully verified sFlow sampling functionality.,"V3, V4",,"Name: Sreenivasula Reddy Vennapusa Email:  sreenivasula.reddy@broadcom.com Objective - FtOpSfFn005 : Verify max sFlow collectors configuration with different combinations (2 IPV4,2 IPV6,combination of both). Test bed details: TG1(192.168.1.1)---(192.168.1.2)Partner(192.168.2.1/24)---(192.168.2.2/24)DUT(192.168.3.1)---(192.168.3.3/24)TG2 |(192.168.4.1/24) | | |(192.168.4.4/24) TG3(sFlow collector)"
10,system/test_sflow.py,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow,Pass,0:05:41,2024-01-08 00:14:08,0,1,0,2,Test case passed,"V3, V4",,
11,system/test_sflow.py,,,0:00:39,2024-01-08 00:14:46,0,1,0,2,Module Epilog,"V3, V4",,
12,sanity/test_sanity_l3.py,,,0:03:16,2024-01-08 00:20:40,0,1,0,2,Module Prolog,"V3, V4",,
13,sanity/test_sanity_l3.py,test_l2_to_l3_port,Fail,0:00:56,2024-01-08 00:21:30,0,1,0,2,Failed to port L2 config to L3 config,"V3, V4",,
14,sanity/test_sanity_l3.py,,,0:00:37,2024-01-08 00:22:07,0,1,0,2,Module Epilog,"V3, V4",,
